sep=,
"name","ranking","constituency","party","score","won","lost","image","gender","area_gss_code","area_id","area_mapit_name","country","population_total","population_male","population_female","deaths_num_total","deaths_num_male","deaths_num_female","deaths_num_infant","deaths_num_neonatal","deaths_num_perinatal","deaths_rate_crude","deaths_rate_agestd_total","deaths_rate_agestd_male","deaths_rate_agestd_female","deaths_rate_infant","deaths_rate_neonatal","deaths_rate_perinatal","match_type","matched_by"
"Owen Patterson","1","North Shropshire","Conservative","1903","4975","2130","http://sexymp.co.uk/mp/473.jpg","M","E14000849","66017","North Shropshire","England","307100","152200","154900","2987","1395","1592","10","7","14","9.7","485.3","555","425.4","3.5","2.4","4.8","covered_by","E06000051"
"Charlotte Leslie","2","Bristol North West","Conservative","1965","50809","30261","http://sexymp.co.uk/mp/359.jpg","F","E14000600","66009","Bristol North West","England","428100","213400","214700","3290","1595","1695","20","17","45","7.7","556.2","668.5","464.2","3","2.5","6.7","covered_by","E06000023"
"Eilidh Whiteford","3","Banff and Buchan","Scottish National Party","1937","46902","28774","http://sexymp.co.uk/mp/619.jpg","F","S14000007","14404","Banff and Buchan","Scotland","247600","122900","124700","2191","1074","1117","8","3","17","8.8","550.4","631.5","479.4","3","1.1","6.3","covered_by","S12000034"
"Penny Mordaunt","4","Portsmouth North","Conservative","1901","47575","28419","http://sexymp.co.uk/mp/430.jpg","F","E14000883","65566","Portsmouth North","England","205400","103900","101600","1706","839","867","4","3","13","8.3","601","729.6","495.5","1.5","1.1","4.8","covered_by","E06000044"
"Esther Mcvey","5","Wirral West","Conservative","1888","44381","28114","http://sexymp.co.uk/mp/412.jpg","F","E14001044","65897","Wirral West","England","319800","153800","166000","3370","1589","1781","17","15","34","10.5","567.6","683.7","467.3","4.5","3.9","8.9","covered_by","E08000015"
"Sarah Wollaston","6","Totnes","Conservative","1887","39947","26187","http://sexymp.co.uk/mp/639.jpg","F","E14001001","65810","Totnes","England","320833.3333333333","155533.33333333334","165300","3549","1631.6666666666667","1917.3333333333333","13.666666666666666","10.333333333333334","21","11.299999999999999","478.9666666666667","550.1333333333333","417","2.8333333333333335","2.1999999999999997","4.533333333333333","overlapped_by (calculated average)","E06000027,E10000008,E07000044"
"Nicola Blackwood","7","Oxford West and Abingdon","Conservative","1846","44036","27996","http://sexymp.co.uk/mp/54.jpg","F","E14000874","65564","Oxford West and Abingdon","England","654800","324100","330700","5058","2476","2582","31","22","54","7.7","476.2","566.8","400.2","3.6","2.6","6.3","covered_by","E10000025"
"Rebecca Harris","8","Castle Point","Conservative","1853","44118","28426","http://sexymp.co.uk/mp/266.jpg","F","E14000622","65914","Castle Point","England","88000","42900","45100","905","442","463","4","4","7","10.3","489.9","579.4","429.6","4.9","4.9","8.6","covered_by","E07000069"
"Claire Perry","9","Devizes","Conservative","1839","44013","28114","http://sexymp.co.uk/mp/480.jpg","F","E14000665","65723","Devizes","England","474300","234300","240100","4138","1964","2174","19","17","39","8.7","476","553.2","413.3","3.5","3.1","7.1","covered_by","E06000054"
"Mary Macleod","10","Brentford and Isleworth","Conservative","1842","43751","28685","http://sexymp.co.uk/mp/380.jpg","F","E14000593","65958","Brentford and Isleworth","England","254900","128100","126800","1403","696","707","20","14","38","5.5","513","600.5","443.6","4.4","3.1","8.3","covered_by","E09000018"
