sep=,
"area_name","population_total","population_male","population_female","deaths_num_total","deaths_num_male","deaths_num_female","deaths_num_infant","deaths_num_neonatal","deaths_num_perinatal","deaths_rate_crude","deaths_rate_agestd_total","deaths_rate_agestd_male","deaths_rate_agestd_female","deaths_rate_infant","deaths_rate_neonatal","deaths_rate_perinatal"
"UNITED KINGDOM","63232600","31074400","32158200","552232","267491","284741","3502","2450","6075","8.7","537.6","637","454.7","4.3","3","7.5"
"ENGLAND AND WALES2","56170900","27637600","28533300","484367","234660","249707","3154","2203","5502","8.6","526.8","623.6","445.8","4.4","3","7.6"
"ENGLAND","53107200","26133200","26974000","452862","219068","233794","2986","2092","5234","8.5","522.9","618.5","442.9","4.3","3","7.6"
"NORTH EAST","2596400","1269600","1326800","25711","12400","13311","109","71","236","9.9","596.2","700.4","510.4","3.6","2.3","7.7"
"County Durham UA","513000","251200","261800","5202","2462","2740","23","16","49","10.1","599.1","684.3","525.2","3.9","2.7","8.4"
"Darlington UA","105600","51500","54100","985","488","497","6","4","9","9.3","541.7","654.7","453.5","4.6","3.1","6.9"
"Hartlepool UA","92100","44800","47300","922","439","483","4","3","12","10","619.5","718","538.1","3.4","2.5","10"
"Middlesbrough UA","138400","67700","70700","1356","673","683","9","4","19","9.8","682.2","816.6","570.6","4.5","2","9.4"
"Northumberland UA","316300","154200","162000","3267","1571","1696","14","6","14","10.3","541.9","630.5","466.8","4.7","2","4.7"
"Redcar and Cleveland UA","135200","65700","69500","1408","667","741","1","1","7","10.4","582.7","663.3","514.7","0","0","4.1"
"Stockton-on-Tees UA","191800","94200","97700","1662","785","877","12","10","17","8.7","577.7","658.1","511.1","4.9","4.1","7"
"Tyne and Wear (Met county)","1104100","540500","563700","10909","5315","5594","40","27","109","9.9","612.3","736.2","512.9","3.1","2.1","8.3"
"Gateshead","200300","98000","102300","2100","1050","1050","13","9","25","10.5","630.9","751.8","525.2","5.5","3.8","10.5"
"Newcastle upon Tyne","279100","139900","139200","2380","1154","1226","9","7","32","8.5","609.2","729.4","511.3","2.6","2.1","9.3"
"North Tyneside","201200","97100","104100","2014","960","1054","6","6","18","10","576.2","693.9","490.1","2.5","2.5","7.4"
"South Tyneside","148200","71600","76600","1683","818","865","3","2","13","11.4","634.2","784.2","519.6","1.8","0","7.8"
"Sunderland","275300","133900","141500","2732","1333","1399","9","3","21","9.9","619.8","740.4","521.7","2.8","0.9","6.4"
"NORTH WEST","7056000","3467700","3588200","66372","32009","34363","417","287","711","9.4","589.7","693","500.8","4.7","3.2","8"
"Blackburn with Darwen UA","147700","73600","74000","1189","596","593","12","8","26","8.1","634.8","765.6","519.5","5.1","3.4","11"
"Blackpool UA","142100","69700","72300","1818","913","905","7","4","19","12.8","728.6","902.2","577.3","4","2.3","10.9"
"Cheshire East UA","370700","181700","189000","3420","1576","1844","15","11","29","9.2","480.5","545.4","424.5","3.7","2.7","7.2"
"Cheshire West and Chester UA","329500","160600","168900","3155","1503","1652","17","16","33","9.6","528.4","616.9","452.4","4.5","4.3","8.8"
"Halton UA","125700","61300","64400","1109","546","563","6","3","15","8.8","629.6","736.3","554.1","3.8","1.9","9.5"
"Warrington UA","202700","100500","102200","1747","856","891","13","12","23","8.6","576.1","681","488","5.4","5","9.6"
"Cumbria","499800","246100","253700","5464","2556","2908","17","10","28","10.9","556.9","633.6","488.6","3.4","2","5.5"
"Allerdale","96400","47400","49000","1145","526","619","3","2","7","11.9","599.5","675.6","535.5","3.2","0","7.4"
"Barrow-in-Furness","69100","34200","34900","761","368","393","2","1","0","11","647.1","756","541.7","0","0","0"
"Carlisle","107500","52500","55000","1062","493","569","5","2","6","9.9","547.1","618.1","483.4","3.8","0","4.6"
"Copeland","70600","35500","35100","763","365","398","1","0","0","10.8","627.9","702.4","554.3","0","0","0"
"Eden","52500","26000","26500","518","252","266","3","2","0","9.9","468.1","556.1","395.5","7","0","0"
"South Lakeland","103700","50600","53100","1215","552","663","3","3","0","11.7","479.1","531.7","435.5","3.4","3.4","0"
"Greater Manchester (Met county)","2685400","1327700","1357700","23137","11232","11905","190","126","313","8.6","613.9","719.1","523.1","5.1","3.4","8.3"
"Bolton","277300","137000","140300","2498","1207","1291","20","13","42","9","605.8","704.9","518.3","5.2","3.4","10.8"
"Bury","185400","90700","94700","1693","801","892","14","8","23","9.1","592.9","685","511.7","5.5","3.1","9"
"Manchester","502900","253100","249800","3487","1809","1678","47","34","80","6.9","736.9","902.4","599.1","5.8","4.2","9.8"
"Oldham","225200","110300","114800","2004","969","1035","22","19","29","8.9","631.5","751.1","529.7","6.7","5.8","8.8"
"Rochdale","211900","103800","108100","1858","935","923","12","8","24","8.8","624.6","755.1","514.6","4","2.6","7.9"
"Salford","234500","117200","117300","2131","1023","1108","17","10","22","9.1","661.6","770.4","573.5","4.8","2.8","6.2"
"Stockport","283300","138400","144800","2523","1198","1325","22","13","31","8.9","502.7","589.2","426.3","6.5","3.9","9.2"
"Tameside","219700","107800","111900","2181","1036","1145","14","7","17","9.9","666.6","770.9","572.3","4.6","2.3","5.6"
"Trafford","227100","111200","115900","1847","866","981","9","6","15","8.1","500.6","571.4","441.4","3.1","2.1","5.2"
"Wigan","318100","158100","160100","2915","1388","1527","13","8","30","9.2","624","705.2","551.9","3.3","2","7.5"
"Lancashire","1171600","575400","596100","11676","5661","6015","74","48","116","10","579.4","683.7","490.2","5.4","3.5","8.4"
"Burnley","87000","42800","44300","926","452","474","8","5","6","10.6","682.4","806.6","584.6","6.8","4.3","5.1"
"Chorley","107600","53900","53700","967","447","520","4","4","13","9","562.5","631.1","500.1","3.1","3.1","10.1"
"Fylde","76100","37000","39100","965","480","485","4","2","0","12.7","554.1","687.3","440","5.8","0","0"
"Hyndburn","80500","39900","40700","791","398","393","5","4","8","9.8","655.4","779.4","544.5","4.3","3.4","6.8"
"Lancaster","137800","66600","71200","1433","694","739","7","5","12","10.4","592.7","720.5","480.2","4.4","3.2","7.6"
"Pendle","89600","44100","45500","812","401","411","11","6","14","9.1","598.2","692.6","517.3","8.4","4.6","10.7"
"Preston","140100","70300","69700","1126","560","566","14","5","19","8","589.7","695.6","495.2","7.3","2.6","9.8"
"Ribble Valley","57300","28100","29200","543","245","298","0","0","0","9.5","471","539","405.6","0","0","0"
"Rossendale","68100","33400","34700","667","327","340","4","2","0","9.8","641.1","770.6","532.5","4.7","0","0"
"South Ribble","109200","53400","55800","970","463","507","7","6","13","8.9","522.5","597.7","458.7","5.4","4.7","10.1"
"West Lancashire","110600","53800","56800","1068","515","553","5","4","10","9.7","551.6","652","472.6","4.5","3.6","8.9"
"Wyre","107700","52200","55500","1408","679","729","5","5","11","13.1","587.7","697.9","498.4","5.1","5.1","11"
"Merseyside (Met county)","1380800","671000","709700","13657","6570","7087","66","49","109","9.9","599.8","716.7","500.9","4","3","6.6"
"Knowsley","145900","69300","76600","1356","671","685","8","3","8","9.3","625.5","757.7","519.3","4.1","1.5","4"
"Liverpool","465700","230400","235200","4232","2035","2197","25","19","41","9.1","674.9","787.3","573.2","4.3","3.2","6.9"
"Sefton","274000","131300","142700","3018","1489","1529","9","7","13","11","550.3","689.6","441.1","3.2","2.5","4.6"
"St Helens","175400","86200","89200","1681","786","895","7","5","13","9.6","576.1","656.1","508","3.4","2.4","6.2"
"Wirral","319800","153800","166000","3370","1589","1781","17","15","34","10.5","567.6","683.7","467.3","4.5","3.9","8.9"
"YORKSHIRE AND THE HUMBER","5288200","2602000","2686200","48527","23466","25061","327","228","538","9.2","566.2","670","480.6","4.9","3.4","8.1"
"East Riding of Yorkshire UA","334700","163600","171100","3571","1703","1868","12","7","16","10.7","515.1","600.4","441.8","3.9","2.3","5.2"
"Kingston upon Hull‚ City of UA","256100","128300","127800","2358","1189","1169","13","8","23","9.2","672","808.1","555.5","3.4","2.1","6"
"North East Lincolnshire UA","159700","78300","81400","1564","736","828","6","5","10","9.8","568.2","647.8","499.3","3","2.5","4.9"
"North Lincolnshire UA","167500","82600","84900","1638","792","846","11","7","19","9.8","566.2","659","492.7","5.9","3.7","10.1"
"York UA","197800","96300","101500","1794","894","900","8","5","13","9.1","526.5","650.8","429","3.9","2.4","6.2"
"North Yorkshire","601200","296400","304800","6049","2844","3205","19","14","35","10.1","495","579.3","425.4","3.1","2.3","5.8"
"Craven","55500","26800","28700","590","271","319","0","0","0","10.6","448.1","539.3","374.9","0","0","0"
"Hambleton","89600","44300","45300","813","401","412","2","1","5","9.1","433.3","520.5","357.6","0","0","6.2"
"Harrogate","158700","77600","81100","1516","664","852","5","4","9","9.6","472.7","531.4","429.5","3","2.4","5.4"
"Richmondshire","53300","28700","24600","454","218","236","0","0","0","8.5","522.9","590.6","465.5","0","0","0"
"Ryedale","51900","25500","26400","555","247","308","1","0","0","10.7","453.9","486.6","431.3","0","0","0"
"Scarborough","108700","52600","56200","1404","662","742","7","5","7","12.9","585.8","696.5","490.4","6.3","4.5","6.3"
"Selby","83500","40900","42600","717","381","336","4","4","8","8.6","520.3","659.9","402.5","4.3","4.3","8.6"
"South Yorkshire (Met county)","1343800","662200","681600","12374","6054","6320","77","55","125","9.2","576.4","683.6","489.1","4.6","3.3","7.5"
"Barnsley","231900","114000","117900","2274","1084","1190","8","4","20","9.8","601.9","696.3","522.1","2.7","1.3","6.6"
"Doncaster","302500","149200","153300","2872","1457","1415","21","18","36","9.5","583.5","705.9","484.9","5.6","4.8","9.5"
"Rotherham","257700","126500","131200","2509","1225","1284","13","11","19","9.7","587.1","695.4","502.8","4.3","3.6","6.2"
"Sheffield","551800","272500","279200","4719","2288","2431","35","22","50","8.6","555.6","660.5","469","5.2","3.2","7.3"
"West Yorkshire (Met county)","2227400","1094300","1133100","19179","9254","9925","181","127","297","8.6","586","695","496.3","5.8","4.1","9.5"
"Bradford","523100","257399","265700","4222","2026","2196","56","37","86","8.1","597.5","704.7","513.1","6.7","4.5","10.3"
"Calderdale","204200","99800","104400","1850","908","942","16","10","22","9.1","584.3","718.4","475.6","6.2","3.9","8.5"
"Kirklees","423000","208900","214100","3609","1750","1859","37","28","49","8.5","576.8","688.4","484","6.4","4.8","8.4"
"Leeds","750700","368000","382700","6362","3065","3297","43","33","98","8.5","578.9","682.4","493.6","4.2","3.3","9.6"
"Wakefield","326400","160200","166300","3136","1505","1631","29","19","42","9.6","599.1","704.5","507.4","7.1","4.6","10.1"
"EAST MIDLANDS","4537400","2237000","2300500","40379","19947","20432","238","171","413","8.9","529.1","629.7","444.4","4.3","3.1","7.4"
"Derby UA","248900","123100","125800","1973","972","1001","17","13","34","7.9","523.9","627.4","435.5","4.7","3.6","9.2"
"Leicester UA","329600","163100","166600","2330","1185","1145","40","28","0","7.1","595.4","725.4","486.7","7.5","5.3","0"
"Nottingham UA","303900","153200","150700","2257","1159","1098","27","21","48","7.4","621.6","766.4","503.8","6.1","4.7","10.7"
"Rutland UA","37600","19100","18500","362","172","190","2","1","0","9.6","446.2","522.4","376","0","0","0"
"Derbyshire","770700","379100","391600","7437","3643","3794","25","17","39","9.6","529.2","633.9","442.8","2.9","2","4.6"
"Amber Valley","122500","60300","62300","1196","604","592","5","4","6","9.8","530.5","653.2","430","3.9","3.1","4.7"
"Bolsover","76000","37500","38600","778","393","385","1","0","6","10.2","578.6","726.4","463.4","0","0","6.6"
"Chesterfield","103800","50900","52900","1118","536","582","3","2","0","10.8","592.1","702.9","498.5","2.4","0","0"
"Derbyshire Dales","71100","35100","36000","748","352","396","1","1","0","10.5","471.1","554","405.8","0","0","0"
"Erewash","112200","54900","57300","974","467","507","3","2","0","8.7","491.6","576.3","420.5","2.3","0","0"
"High Peak","91000","44800","46200","817","387","430","2","2","0","9","524.9","615.4","446.8","0","0","0"
"North East Derbyshire","99100","48600","50500","1056","523","533","6","3","9","10.7","539.6","635.2","454.8","6.1","3","9.1"
"South Derbyshire","94900","47100","47800","750","381","369","4","3","5","7.9","515.2","623.2","432.6","3.5","2.6","4.4"
"Leicestershire","651200","321700","329500","5455","2732","2723","22","19","41","8.4","473.7","574.1","390.8","3.2","2.7","5.9"
"Blaby","94100","46300","47800","730","342","388","1","0","0","7.8","440.6","494.8","391.5","0","0","0"
"Charnwood","165900","82800","83100","1360","683","677","6","6","13","8.2","501.1","609.3","410.8","3.4","3.4","7.2"
"Harborough","85700","42500","43200","691","358","333","2","2","6","8.1","440.1","543.3","359.4","0","0","7.9"
"Hinckley and Bosworth","105300","51800","53500","877","446","431","2","2","6","8.3","457.1","558","379.3","0","0","4.9"
"Melton","50500","24800","25700","466","249","217","2","2","0","9.2","495.8","646.4","380.2","0","0","0"
"North West Leicestershire","93700","46400","47200","784","390","394","7","5","7","8.4","497.7","599.3","405.7","6.9","5","6.9"
"Oadby and Wigston","56000","27000","28900","547","264","283","2","2","0","9.8","479.5","590.4","386.1","0","0","0"
"Lincolnshire","714800","348300","366500","7512","3747","3765","26","15","42","10.5","531.4","631.4","447.5","3.3","1.9","5.3"
"Boston","64599","31600","33100","654","311","343","3","1","0","10.1","538.6","633.3","458.4","3.4","0","0"
"East Lindsey","136700","66600","70100","1790","888","902","10","6","9","13.1","577.7","660.3","505","7.7","4.6","6.9"
"Lincoln","93100","45600","47500","837","424","413","5","4","11","9","603.6","775.8","465.4","3.8","3","8.3"
"North Kesteven","108500","53100","55500","1073","537","536","2","1","0","9.9","493.6","581.5","419.8","0","0","0"
"South Holland","88400","43200","45200","934","475","459","2","0","0","10.6","500.8","598.4","416.9","0","0","0"
"South Kesteven","134100","64800","69300","1266","619","647","2","2","5","9.4","481.7","574.1","410.2","0","0","3.3"
"West Lindsey","89400","43500","45800","958","493","465","2","1","5","10.7","552.7","657.3","461.4","0","0","5.6"
"Northamptonshire","694000","342300","351600","5720","2797","2923","46","33","82","8.2","540.8","631.6","460.4","5","3.6","8.8"
"Corby","61600","30300","31300","514","260","254","3","2","6","8.3","665","767.7","573.5","3.1","0","6.3"
"Daventry","78100","39000","39100","648","331","317","1","1","8","8.3","494.8","602.4","402.5","0","0","9.7"
"East Northamptonshire","86900","43100","43800","765","381","384","3","2","7","8.8","517.9","623.1","418.4","3.1","0","7.2"
"Kettering","93800","46100","47800","820","399","421","6","6","10","8.7","539","647","450.3","4.9","4.9","8.1"
"Northampton","212500","104500","108000","1714","813","901","23","17","31","8.1","593.2","679.3","516.6","7","5.1","9.3"
"South Northamptonshire","85400","42200","43200","640","306","334","2","1","9","7.5","440.5","492.5","386.8","0","0","9.9"
"Wellingborough","75600","37200","38400","619","307","312","8","4","11","8.2","516.3","611.6","439","7.5","3.8","10.3"
"Nottinghamshire","786800","387200","399600","7333","3540","3793","33","24","64","9.3","525.1","611.2","451.9","3.7","2.7","7.1"
"Ashfield","119500","58600","60900","1118","549","569","4","3","9","9.4","588.5","691.5","500.3","2.6","2","5.9"
"Bassetlaw","113000","56100","56900","1119","571","548","5","4","13","9.9","558.4","675.1","460.8","3.9","3.1","10"
"Broxtowe","109700","54300","55500","1017","474","543","4","4","8","9.3","505.2","570.1","445.8","3.2","3.2","6.4"
"Gedling","113700","55500","58300","1016","485","531","4","2","6","8.9","485.6","556.4","425.6","3.3","0","4.9"
"Mansfield","104600","51300","53200","991","485","506","6","3","5","9.5","563.3","669","473.5","4.3","2.2","3.6"
"Newark and Sherwood","115000","56600","58400","1132","551","581","5","5","15","9.8","538","634.8","461.3","4.1","4.1","12.3"
"Rushcliffe","111200","54800","56500","940","425","515","5","3","8","8.4","445.8","495.9","401.5","4.4","2.6","7"
"WEST MIDLANDS","5608700","2767300","2841400","49110","23976","25134","440","317","620","8.8","536","636.1","452.2","6","4.3","8.4"
"Herefordshire‚ County of UA","183600","90400","93300","1915","934","981","11","8","8","10.4","504.2","603","424.9","5.9","4.3","4.3"
"Shropshire UA","307100","152200","154900","2987","1395","1592","10","7","14","9.7","485.3","555","425.4","3.5","2.4","4.8"
"Stoke-on-Trent UA","248700","123900","124800","2311","1135","1176","32","25","36","9.3","633.4","730.6","550.4","8.4","6.6","9.4"
"Telford and Wrekin UA","166800","82600","84200","1320","666","654","12","6","11","7.9","581.2","694.4","485.7","5.2","2.6","4.7"
"Staffordshire","849500","420400","429100","7591","3625","3966","46","33","73","8.9","510.2","589.8","445.6","5.1","3.7","8.1"
"Cannock Chase","97600","48200","49400","780","394","386","7","5","9","8","534.4","649.2","437.9","6.2","4.4","7.9"
