sep=,
"area_name","code","life_exp_birth_male_years","life_exp_birth_male_rank","life_exp_birth_female_years","life_exp_birth_female_rank","life_exp_65_male_years","life_exp_65_male_rank","life_exp_65_female_years","life_exp_65_female_rank"
"County Durham UA","E06000047","77.9","280","81.5","306","17.7","289","19.9","318"
"Darlington UA","E06000005","78.7","234","82.7","231","18","257","20.7","248"
"Hartlepool UA","E06000001","77.4","315","81.5","308","17.3","318","20","310"
"Middlesbrough UA","E06000002","76.3","340","80.2","342","16.7","342","18.9","343"
"Northumberland UA","E06000048","78.8","224","82.5","246","18.4","210","20.5","262"
"Redcar and Cleveland UA","E06000003","78.7","236","82","279","18.2","229","20.4","273"
"Stockton-on-Tees UA","E06000004","78.3","254","82.3","254","17.8","278","20.7","251"
"Gateshead","E08000020","77.2","320","81.3","316","17.6","296","19.5","329"
"Newcastle upon Tyne","E08000021","77.5","307","81.4","315","17.3","321","19.9","311"
"North Tyneside","E08000022","78.1","267","82","278","17.6","306","20.5","265"
"South Tyneside","E08000023","76.8","331","81.2","320","16.8","339","19.9","315"
"Sunderland","E08000024","77","325","80.7","332","17.3","322","19.3","338"
"Blackburn with Darwen UA","E06000008","76.5","337","80.9","329","17.4","317","19.4","332"
"Blackpool UA","E06000009","74","346","80","344","16.5","344","19.3","335"
"Cheshire East UA","E06000049","80.4","99","83.4","167","19.2","108","21.2","182"
"Cheshire West and Chester UA","E06000050","79.2","200","82.8","215","18.6","198","20.8","240"
"Halton UA","E06000006","77.1","321","80.6","336","17","335","19.3","336"
"Warrington UA","E06000007","78.2","265","82","284","17.6","295","20.3","295"
"Allerdale","E07000026","78.2","262","81.9","287","17.9","267","20.3","284"
"Barrow-in-Furness","E07000027","77.1","323","81.4","313","18.1","241","20.1","305"
"Carlisle","E07000028","78.5","244","82","281","18.4","213","20.3","286"
"Copeland","E07000029","77.6","297","81.4","312","17.8","282","20","309"
"Eden","E07000030","80.3","106","84.1","94","19.2","109","21.9","87"
"South Lakeland","E07000031","80.9","63","83.4","156","19.6","53","21.5","148"
"Bolton","E08000001","77.4","313","81.4","314","17.5","313","20.1","306"
"Bury","E08000002","78","270","81","326","17.8","280","19.6","325"
"Manchester","E08000003","74.8","345","79.5","346","15.8","346","18.8","344"
"Oldham","E08000004","77.1","322","81.1","323","17.1","330","19.8","320"
"Rochdale","E08000005","76.8","329","80.8","331","17.4","315","19.8","319"
"Salford","E08000006","76.1","342","80.5","340","16.7","341","19.2","340"
"Stockport","E08000007","79.8","154","83.1","189","19.1","131","21.3","162"
"Tameside","E08000008","76.3","339","80.6","334","17","336","19.1","342"
"Trafford","E08000009","79.6","163","83.7","126","18.7","181","21.7","114"
"Wigan","E08000010","77.4","317","80.8","330","17.2","326","19.3","334"
"Burnley","E07000117","75.7","344","80.5","337","16.8","338","19.4","330"
"Chorley","E07000118","79","216","81.9","290","18.3","228","20.2","304"
"Fylde","E07000119","79.1","212","82.8","217","18.9","154","21.2","176"
"Hyndburn","E07000120","76.5","336","81","325","17.4","316","19.3","339"
"Lancaster","E07000121","77.4","314","82.2","264","17.6","300","20.8","234"
"Pendle","E07000122","77.9","282","81.7","301","18.4","208","20.6","259"
"Preston","E07000123","77.4","318","81","328","17.6","305","20.1","307"
"Ribble Valley","E07000124","80.5","98","84","105","18.8","169","21.2","174"
"Rossendale","E07000125","77.6","296","81.6","303","17.2","324","19.9","313"
"South Ribble","E07000126","80.1","126","82.8","216","19.2","115","21.1","187"
"West Lancashire","E07000127","78.7","233","82.5","245","18","250","20.4","275"
"Wyre","E07000128","78.2","260","81.8","294","18.4","212","20.7","246"
"Knowsley","E08000011","76.6","334","80.7","333","17.2","323","19.3","333"
"Liverpool","E08000012","76.1","341","80.2","341","16.6","343","19.2","341"
"Sefton","E08000014","77.5","306","82.8","220","17.8","277","21.2","178"
"St. Helens","E08000013","78","271","81.6","304","17.9","271","19.9","312"
"Wirral","E08000015","77.9","279","81.9","288","18","253","20.3","296"
"East Riding of Yorkshire UA","E06000011","79.6","168","82.9","210","18.7","186","20.8","244"
"Kingston upon Hull, City of UA","E06000010","76.6","335","80.5","339","16.8","337","19.4","331"
"North East Lincolnshire UA","E06000012","77.9","284","81.9","289","17.8","281","20.3","288"
"North Lincolnshire UA","E06000013","78.3","251","82.8","224","18","260","21","206"
"York UA","E06000014","79.6","172","83.2","181","18.5","201","21.3","159"
"Craven","E07000163","80.6","82","84.6","42","19.6","58","21.9","81"
"Hambleton","E07000164","81.3","41","85.5","12","19.7","39","22.8","19"
"Harrogate","E07000165","80.6","85","83.8","121","19.3","101","21.8","105"
"Richmondshire","E07000166","80.2","120","83.1","192","19","142","20.9","215"
"Ryedale","E07000167","80.7","74","83","201","19","144","21.1","185"
"Scarborough","E07000168","77.9","287","82.2","263","18.5","205","20.7","252"
"Selby","E07000169","79.4","180","83.5","145","18.6","195","21.1","192"
"Barnsley","E08000016","77.8","288","81.5","311","17.6","298","19.9","317"
"Doncaster","E08000017","77.5","305","81.7","297","17.5","312","20.4","281"
"Rotherham","E08000018","78","277","81.6","302","17.5","310","20.2","300"
"Sheffield","E08000019","78.7","231","82.4","253","18","247","20.5","263"
"Bradford","E08000032","77.5","310","81.5","310","17.6","301","20.2","303"
"Calderdale","E08000033","77.5","308","82.2","267","17.5","311","20.7","253"
"Kirklees","E08000034","78.2","261","82","286","18","255","20.3","294"
"Leeds","E08000035","78","272","82.1","272","17.7","292","20.3","291"
"Wakefield","E08000036","77.8","291","81.3","317","17.6","303","19.9","316"
"Derby UA","E06000015","78.6","238","82.8","219","18.3","222","21.3","170"
"Leicester UA","E06000016","77","326","81.8","293","17.3","320","20.3","292"
"Nottingham UA","E06000018","76.9","328","81.5","307","16.8","340","20.5","266"
"Rutland UA","E06000017","81","54","84.7","35","20.1","17","22","71"
"Amber Valley","E07000032","79.2","205","83.3","176","18.3","223","21","211"
"Bolsover","E07000033","77.9","283","82","282","17.1","329","19.6","326"
"Chesterfield","E07000034","77.7","293","82.3","261","17.6","293","20.6","260"
"Derbyshire Dales","E07000035","81.1","48","84.3","79","19.4","79","21.8","103"
"Erewash","E07000036","79.8","153","83.6","131","18.3","221","21.7","115"
"High Peak","E07000037","80","137","83.4","157","18.7","182","20.8","233"
"North East Derbyshire","E07000038","79.7","159","83","202","18.8","162","20.8","238"
"South Derbyshire","E07000039","79.4","182","83.3","173","18","258","20.9","224"
"Blaby","E07000129","80.7","73","84.6","46","19.6","61","22.3","45"
"Charnwood","E07000130","79.6","165","83.6","136","18.6","188","21.5","139"
"Harborough","E07000131","80.3","105","84.8","31","19.4","86","22.4","35"
"Hinckley and Bosworth","E07000132","80.2","115","84.5","60","18.6","189","22","62"
"Melton","E07000133","80.2","119","83.7","130","19.3","96","22","69"
"North West Leicestershire","E07000134","79.4","186","83","199","18.6","196","21","209"
"Oadby and Wigston","E07000135","80.1","123","84.1","91","19","136","21.5","138"
"Boston","E07000136","78.8","226","82.5","242","18.8","173","20.8","236"
"East Lindsey","E07000137","77.8","290","81.8","292","18","259","20.6","254"
"Lincoln","E07000138","77.7","295","81.8","296","17.7","287","20.4","276"
"North Kesteven","E07000139","80.7","80","83.3","170","19","132","21.4","155"
"South Holland","E07000140","79.6","171","83.4","163","19.1","119","21.5","147"
"South Kesteven","E07000141","80.1","125","84","100","18.7","179","21.5","144"
"West Lindsey","E07000142","79.4","188","83","205","18.8","176","21.1","191"
"Corby","E07000150","77.3","319","80.2","343","17.2","325","18.7","345"
"Daventry","E07000151","79.5","177","83.5","150","18.5","200","21.1","198"
"East Northamptonshire","E07000152","80","135","83.1","185","18.8","165","20.9","230"
"Kettering","E07000153","79.2","202","82.7","229","18.2","233","21","210"
"Northampton","E07000154","77.4","312","81.8","295","17.6","294","20.3","289"
"South Northamptonshire","E07000155","82.2","4","84.4","67","19.9","23","22.2","50"
"Wellingborough","E07000156","80","134","83.7","125","19.4","92","21.8","106"
"Ashfield","E07000170","77.6","301","81.7","298","17.1","331","19.9","314"
"Bassetlaw","E07000171","78.6","240","82.1","269","18","262","20.4","278"
"Broxtowe","E07000172","80","136","83.6","135","18.6","194","21","213"
"Gedling","E07000173","80.5","93","83.1","193","18.8","170","20.9","220"
"Mansfield","E07000174","78.3","255","82.1","277","17.7","286","20.3","282"
"Newark and Sherwood","E07000175","79.3","195","82.7","232","18","251","20.7","245"
"Rushcliffe","E07000176","80.9","59","84.4","70","19.4","89","22.1","61"
"Herefordshire, County of UA","E06000019","79.7","157","83.7","124","18.9","155","22","70"
"Shropshire UA","E06000051","79.8","151","83.8","117","19","135","21.6","127"
"Stoke-on-Trent UA","E06000021","76.7","332","80.5","338","17.2","327","19.8","322"
"Telford and Wrekin UA","E06000020","77.9","285","81.6","305","17.7","285","20.2","302"
"Cannock Chase","E07000192","78.7","230","82.9","209","18","245","21","214"
"East Staffordshire","E07000193","78.5","246","82.9","211","18.3","226","21","208"
"Lichfield","E07000194","79.9","146","82.9","212","18.5","206","20.7","247"
"Newcastle-under-Lyme","E07000195","78.9","221","82.3","256","18.4","211","20.5","270"
"South Staffordshire","E07000196","80.1","130","83.2","182","18.7","184","21.2","173"
"Stafford","E07000197","80.3","104","83.6","133","19.6","51","21.5","140"
"Staffordshire Moorlands","E07000198","79.6","175","83.5","151","18.8","167","21.2","175"
"Tamworth","E07000199","79.4","181","83","197","18.4","216","21.2","179"
"North Warwickshire","E07000218","78.7","232","82.3","258","17.9","274","20.3","290"
"Nuneaton and Bedworth","E07000219","78.2","266","82.6","237","17.6","302","20.5","268"
"Rugby","E07000220","80.2","116","83.7","129","19.3","104","21.7","118"
"Stratford-on-Avon","E07000221","81","57","84.9","27","19.8","36","22.6","27"
"Warwick","E07000222","80.4","100","84.7","36","19.4","88","22.7","23"
"Birmingham","E08000025","77.6","303","82.1","276","17.8","275","20.6","255"
"Coventry","E08000026","78.1","268","82.1","270","18.3","225","20.8","232"
"Dudley","E08000027","78.9","222","83","195","18.4","215","21.2","180"
"Sandwell","E08000028","76.8","330","81.3","318","17","332","20.3","293"
"Solihull","E08000029","80.7","79","84.6","41","19.4","85","22.5","31"
"Walsall","E08000030","77.9","281","82.3","255","18.1","240","20.9","225"
"Wolverhampton","E08000031","77.4","316","81.7","299","17.7","284","20.3","283"
"Bromsgrove","E07000234","80.4","103","83.5","140","18.8","171","20.8","231"
"Malvern Hills","E07000235","80.4","102","83.4","159","19.2","114","21","199"
"Redditch","E07000236","78.9","218","82.9","214","18.2","235","20.8","237"
"Worcester","E07000237","78.8","225","83.3","177","18.2","234","21.5","151"
"Wychavon","E07000238","80.7","75","84.6","43","19.9","31","22.4","34"
"Wyre Forest","E07000239","79.2","206","83","196","18.8","172","21.1","186"
"Bedford UA","E06000055","79.3","190","83.1","184","19","134","21.5","146"
"Central Bedfordshire UA","E06000056","80.5","96","84","101","19.2","106","21.6","125"
"Luton UA","E06000032","78","276","82.1","275","18","256","20.5","271"
"Peterborough UA","E06000031","77.9","278","82.5","248","17.9","270","20.9","222"
"Southend-on-Sea UA","E06000033","79.7","161","82.6","238","18.6","193","20.9","223"
"Thurrock UA","E06000034","79.2","203","82.4","249","17.9","266","20.4","280"
"Cambridge","E07000008","79.9","141","84.5","50","19.1","124","22","67"
"East Cambridgeshire","E07000009","81.5","25","85.3","16","19.9","25","22.8","18"
"Fenland","E07000010","79.1","214","82.8","218","18.7","185","21.1","189"
"Huntingdonshire","E07000011","80.9","60","84.4","71","19.5","69","21.7","108"
"South Cambridgeshire","E07000012","82.8","3","85.9","5","20.5","8","23.3","7"
"Basildon","E07000066","79.5","176","82.9","213","18.8","175","20.9","228"
"Braintree","E07000067","79.6","167","83","203","18.2","230","20.9","226"
"Brentwood","E07000068","81.4","33","84.4","64","20","20","21.9","83"
"Castle Point","E07000069","79.9","147","82.8","221","18.9","149","20.9","227"
"Chelmsford","E07000070","80.7","71","84.3","80","19.5","71","21.9","90"
"Colchester","E07000071","79.7","156","83.4","153","18.9","146","21.3","164"
"Epping Forest","E07000072","80.2","114","83.8","123","19.3","103","21.5","143"
"Harlow","E07000073","78.2","263","82.4","252","18.5","207","20.9","229"
"Maldon","E07000074","80.6","87","83.4","161","19.4","77","21.2","177"
"Rochford","E07000075","81.2","42","84.6","45","19.6","52","22","63"
"Tendring","E07000076","78","275","81.9","291","17.9","264","20.8","239"
"Uttlesford","E07000077","81.8","16","85.1","21","20.2","13","22.4","40"
"Broxbourne","E07000095","80.7","77","84.4","63","19.4","90","22.1","55"
"Dacorum","E07000096","80.3","111","84.5","62","19.1","122","22.1","58"
"East Hertfordshire","E07000097","81","53","84.1","95","19.4","74","21.6","122"
"Hertsmere","E07000098","80.7","78","83.5","144","19.8","33","21.6","130"
"North Hertfordshire","E07000099","79.9","140","82.8","222","18.5","202","20.5","269"
"St Albans","E07000100","81.7","17","85.3","17","19.7","40","22.8","17"
"Stevenage","E07000101","79.6","169","82.6","240","18.1","238","20.9","217"
"Three Rivers","E07000102","80.3","109","84.5","54","18.9","148","22.1","57"
"Watford","E07000103","79.2","201","82.3","259","17.9","272","20.3","287"
"Welwyn Hatfield","E07000104","80.1","129","83.6","134","18.9","152","21.7","119"
"Breckland","E07000143","80.1","131","83.3","175","19","138","21.1","194"
"Broadland","E07000144","81.4","31","84.1","93","19.6","67","21.6","135"
"Great Yarmouth","E07000145","78","273","82.2","265","18.2","237","20.6","258"
"King’s Lynn and West Norfolk","E07000146","79.6","166","84","106","19.1","121","21.8","98"
"North Norfolk","E07000147","80.5","94","85","25","19.6","66","22.5","28"
"Norwich","E07000148","78.9","219","83.9","115","19.1","126","22.4","37"
"South Norfolk","E07000149","81.3","39","84.3","78","20.2","15","22.2","47"
"Babergh","E07000200","81.9","12","84.5","55","19.9","27","22","68"
"Forest Heath","E07000201","79.8","155","84.8","34","19.3","102","22.2","49"
