sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country","life_exp_birth_male_years","life_exp_birth_male_rank","life_exp_birth_female_years","life_exp_birth_female_rank","life_exp_65_male_years","life_exp_65_male_rank","life_exp_65_female_years","life_exp_65_female_rank","match_type","matched_by"
"Owen Patterson","1","North Shropshire","Conservative","1665","4760","2106","http://sexymp.co.uk/mp/473.jpg","E14000849","66017","North Shropshire","England","79.8","151","83.8","117","19","135","21.6","127","covered_by","E06000051"
"Charlotte Leslie","2","Bristol North West","Conservative","1654","49488","29809","http://sexymp.co.uk/mp/359.jpg","E14000600","66009","Bristol North West","England","78.3","253","83","206","17.9","268","21.1","193","covered_by","E06000023"
"Eilidh Whiteford","3","Banff and Buchan","Scottish National Party","1630","45624","28215","http://sexymp.co.uk/mp/619.jpg","S14000007","14404","Banff and Buchan","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Sarah Wollaston","4","Totnes","Conservative","1615","38789","25747","http://sexymp.co.uk/mp/639.jpg","E14001001","65810","Totnes","England","80.19999999999999","122.5","83.55000000000001","144","19.5","75.5","21.6","126.5","overlapped_by (calculated average)","E06000027,E07000044"
"Nicola Blackwood","5","Oxford West and Abingdon","Conservative","1587","42739","27531","http://sexymp.co.uk/mp/54.jpg","E14000874","65564","Oxford West and Abingdon","England","80.13333333333334","125.33333333333333","83.76666666666667","123","19.166666666666668","117.66666666666667","21.8","97","overlapped_by (calculated average)","E07000177,E07000178,E07000180"
"Rebecca Harris","6","Castle Point","Conservative","1590","42857","27905","http://sexymp.co.uk/mp/266.jpg","E14000622","65914","Castle Point","England","79.9","147","82.8","221","18.9","149","20.9","227","covered_by","E07000069"
"Penny Mordaunt","7","Portsmouth North","Conservative","1532","46342","27939","http://sexymp.co.uk/mp/430.jpg","E14000883","65566","Portsmouth North","England","78.2","264","82.6","234","17.6","297","20.8","241","covered_by","E06000044"
"Caroline Nokes","8","Romsey and Southampton North","Conservative","1562","41291","26328","http://sexymp.co.uk/mp/456.jpg","E14000901","65884","Romsey and Southampton North","England","79.65","156","83.65","132.5","18.8","163","21.5","136","overlapped_by (calculated average)","E06000045,E07000093"
"Esther Mcvey","9","Wirral West","Conservative","1553","43044","27640","http://sexymp.co.uk/mp/412.jpg","E14001044","65897","Wirral West","England","77.9","279","81.9","288","18","253","20.3","296","covered_by","E08000015"
"Richard Benyon","10","Newbury","Conservative","1586","3776","2552","http://sexymp.co.uk/mp/43.jpg","E14000830","65862","Newbury","England","80.8","67","84.6","44","19.4","81","22.5","30","covered_by","E06000037"
"Claire Perry","11","Devizes","Conservative","1556","42780","27672","http://sexymp.co.uk/mp/480.jpg","E14000665","65723","Devizes","England","80.4","101","83.9","108","19.3","98","21.8","104","covered_by","E06000054"
"Priti Patel","12","Witham","Conservative","1586","39659","27480","http://sexymp.co.uk/mp/472.jpg","E14001045","65831","Witham","England","79.96666666666667","136.66666666666666","83.26666666666667","172.33333333333334","18.833333333333332","151","21.133333333333336","189","overlapped_by (calculated average)","E07000067,E07000071,E07000074"
"Anna Soubry","13","Broxtowe","Conservative","1566","38268","26179","http://sexymp.co.uk/mp/555.jpg","E14000607","65849","Broxtowe","England","80","136","83.6","135","18.6","194","21","213","covered_by","E07000172"
"Chris White","14","Warwick and Leamington","Conservative","1520","3381","2167","http://sexymp.co.uk/mp/618.jpg","E14001019","65608","Warwick and Leamington","England","80.4","100","84.7","36","19.4","88","22.7","23","covered_by","E07000222"
