sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country"
"Owen Patterson","1","North Shropshire","Conservative","1874","4914","2126","http://sexymp.co.uk/mp/473.jpg","E14000849","66017","North Shropshire","England"
"Nicola Blackwood","2","Oxford West and Abingdon","Conservative","1868","43751","27918","http://sexymp.co.uk/mp/54.jpg","E14000874","65564","Oxford West and Abingdon","England"
"Charlotte Leslie","3","Bristol North West","Conservative","1788","50496","30183","http://sexymp.co.uk/mp/359.jpg","E14000600","66009","Bristol North West","England"
"Claire Perry","4","Devizes","Conservative","1836","43745","28040","http://sexymp.co.uk/mp/480.jpg","E14000665","65723","Devizes","England"
"Esther Mcvey","5","Wirral West","Conservative","1806","44065","28042","http://sexymp.co.uk/mp/412.jpg","E14001044","65897","Wirral West","England"
"Penny Mordaunt","6","Portsmouth North","Conservative","1751","47270","28344","http://sexymp.co.uk/mp/430.jpg","E14000883","65566","Portsmouth North","England"
"Mary Macleod","7","Brentford and Isleworth","Conservative","1775","43488","28606","http://sexymp.co.uk/mp/380.jpg","E14000593","65958","Brentford and Isleworth","England"
"Caroline Nokes","8","Romsey and Southampton North","Conservative","1730","42207","26723","http://sexymp.co.uk/mp/456.jpg","E14000901","65884","Romsey and Southampton North","England"
"Sarah Wollaston","9","Totnes","Conservative","1745","39697","26121","http://sexymp.co.uk/mp/639.jpg","E14001001","65810","Totnes","England"
"Rebecca Harris","10","Castle Point","Conservative","1696","43856","28349","http://sexymp.co.uk/mp/266.jpg","E14000622","65914","Castle Point","England"
"Caroline Dinenage","11","Gosport","Conservative","1747","39176","27444","http://sexymp.co.uk/mp/154.jpg","E14000713","65928","Gosport","England"
"Richard Drax","12","South Dorset","Conservative","1516","4556","2358","http://sexymp.co.uk/mp/169.jpg","E14000936","65788","South Dorset","England"
"Eilidh Whiteford","13","Banff and Buchan","Scottish National Party","1611","46620","28689","http://sexymp.co.uk/mp/619.jpg","S14000007","14404","Banff and Buchan","Scotland"
"Amber Rudd","14","Hastings and Rye","Conservative","1636","38401","26541","http://sexymp.co.uk/mp/519.jpg","E14000735","65640","Hastings and Rye","England"
"Maria Miller","15","Basingstoke","Conservative","1682","35408","26562","http://sexymp.co.uk/mp/423.jpg","E14000545","65623","Basingstoke","England"
"Anna Soubry","16","Broxtowe","Conservative","1606","39165","26598","http://sexymp.co.uk/mp/555.jpg","E14000607","65849","Broxtowe","England"
"Theresa Villiers","17","Chipping Barnet","Conservative","1611","40307","27902","http://sexymp.co.uk/mp/603.jpg","E14000636","65886","Chipping Barnet","England"
"Elizabeth Truss","18","South West Norfolk","Conservative","1626","40410","29568","http://sexymp.co.uk/mp/590.jpg","E14000952","65652","South West Norfolk","England"
"Priti Patel","19","Witham","Conservative","1572","40525","27946","http://sexymp.co.uk/mp/472.jpg","E14001045","65831","Witham","England"
"Nadine Dorries","20","Mid Bedfordshire","Conservative","1601","37993","28127","http://sexymp.co.uk/mp/165.jpg","E14000813","65718","Mid Bedfordshire","England"
"Harriet Baldwin","21","West Worcestershire","Conservative","1563","35892","26638","http://sexymp.co.uk/mp/26.jpg","E14001035","65758","West Worcestershire","England"
"Nicky Morgan","22","Loughborough","Conservative","1587","35468","27360","http://sexymp.co.uk/mp/432.jpg","E14000797","65785","Loughborough","England"
"Chloe Smith","23","Norwich North","Conservative","1601","36792","29169","http://sexymp.co.uk/mp/548.jpg","E14000863","65768","Norwich North","England"
"Anne Maine","24","St Albans","Conservative","1565","35516","27077","http://sexymp.co.uk/mp/386.jpg","E14000960","65715","St Albans","England"
"Caroline Spelman","25","Meriden","Conservative","1579","35114","27425","http://sexymp.co.uk/mp/557.jpg","E14000812","65932","Meriden","England"
"Justine Greening","26","Putney","Conservative","1608","35313","29030","http://sexymp.co.uk/mp/243.jpg","E14000887","66045","Putney","England"
"Louise Bagshawe","27","Corby","Conservative","1569","40768","32358","http://sexymp.co.uk/mp/20.jpg","E14000648","65590","Corby","England"
"Damian hinds","28","East Hampshire","Conservative","1487","3203","2266","http://sexymp.co.uk/mp/287.jpg","E14000680","65569","East Hampshire","England"
"Karl McCartney","29","Lincoln","Conservative","1529","3117","2371","http://sexymp.co.uk/mp/396.jpg","E14000792","65704","Lincoln","England"
"Craig Whittacker","30","Calder Valley","Conservative","1503","3127","2301","http://sexymp.co.uk/mp/621.jpg","E14000614","65906","Calder Valley","England"
"Adam Holloway","31","Gravesham","Conservative","1471","3236","2266","http://sexymp.co.uk/mp/294.jpg","E14000715","65944","Gravesham","England"
