sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country"
"Owen Patterson","1","North Shropshire","Conservative","1665","4760","2106","http://sexymp.co.uk/mp/473.jpg","E14000849","66017","North Shropshire","England"
"Charlotte Leslie","2","Bristol North West","Conservative","1654","49488","29809","http://sexymp.co.uk/mp/359.jpg","E14000600","66009","Bristol North West","England"
"Eilidh Whiteford","3","Banff and Buchan","Scottish National Party","1630","45624","28215","http://sexymp.co.uk/mp/619.jpg","S14000007","14404","Banff and Buchan","Scotland"
"Sarah Wollaston","4","Totnes","Conservative","1615","38789","25747","http://sexymp.co.uk/mp/639.jpg","E14001001","65810","Totnes","England"
"Nicola Blackwood","5","Oxford West and Abingdon","Conservative","1587","42739","27531","http://sexymp.co.uk/mp/54.jpg","E14000874","65564","Oxford West and Abingdon","England"
"Rebecca Harris","6","Castle Point","Conservative","1590","42857","27905","http://sexymp.co.uk/mp/266.jpg","E14000622","65914","Castle Point","England"
"Penny Mordaunt","7","Portsmouth North","Conservative","1532","46342","27939","http://sexymp.co.uk/mp/430.jpg","E14000883","65566","Portsmouth North","England"
"Caroline Nokes","8","Romsey and Southampton North","Conservative","1562","41291","26328","http://sexymp.co.uk/mp/456.jpg","E14000901","65884","Romsey and Southampton North","England"
"Esther Mcvey","9","Wirral West","Conservative","1553","43044","27640","http://sexymp.co.uk/mp/412.jpg","E14001044","65897","Wirral West","England"
"Richard Benyon","10","Newbury","Conservative","1586","3776","2552","http://sexymp.co.uk/mp/43.jpg","E14000830","65862","Newbury","England"
"Claire Perry","11","Devizes","Conservative","1556","42780","27672","http://sexymp.co.uk/mp/480.jpg","E14000665","65723","Devizes","England"
"Priti Patel","12","Witham","Conservative","1586","39659","27480","http://sexymp.co.uk/mp/472.jpg","E14001045","65831","Witham","England"
"Anna Soubry","13","Broxtowe","Conservative","1566","38268","26179","http://sexymp.co.uk/mp/555.jpg","E14000607","65849","Broxtowe","England"
"Chris White","14","Warwick and Leamington","Conservative","1520","3381","2167","http://sexymp.co.uk/mp/618.jpg","E14001019","65608","Warwick and Leamington","England"
"Richard Drax","15","South Dorset","Conservative","1397","4471","2280","http://sexymp.co.uk/mp/169.jpg","E14000936","65788","South Dorset","England"
"Eric Ollerenshaw","16","Lancaster and Fleetwood","Conservative","1193","16089","4662","http://sexymp.co.uk/mp/462.jpg","E14000776","65568","Lancaster and Fleetwood","England"
"Nick Herbert","17","Arundel and South Downs","Conservative","1565","3252","2263","http://sexymp.co.uk/mp/282.jpg","E14000534","65784","Arundel and South Downs","England"
"Mary Macleod","18","Brentford and Isleworth","Conservative","1533","42477","28235","http://sexymp.co.uk/mp/380.jpg","E14000593","65958","Brentford and Isleworth","England"
"Mark Harper","19","Forest of Dean","Conservative","1482","3752","2294","http://sexymp.co.uk/mp/264.jpg","E14000705","66064","Forest of Dean","England"
