sep=,
"area_name","code","life_exp_birth_male_years","life_exp_birth_male_rank","life_exp_birth_female_years","life_exp_birth_female_rank","life_exp_65_male_years","life_exp_65_male_rank","life_exp_65_female_years","life_exp_65_female_rank","area_id","area_mapit_name","area_type","area_covers","area_overlaps"
"County Durham UA","E06000047","77.9","280","81.5","306","17.7","289","19.9","318","2223","Durham County Council","UTA","E14000840,E14000569,E14000677,E14000856,E14000641","E14000915"
"Darlington UA","E06000005","78.7","234","82.7","231","18","257","20.7","248","2572","Darlington Borough Council","UTA","E14000658","E14000915"
"Hartlepool UA","E06000001","77.4","315","81.5","308","17.3","318","20","310","2581","Hartlepool Borough Council","UTA","E14000733",""
"Middlesbrough UA","E06000002","76.3","340","80.2","342","16.7","342","18.9","343","2586","Middlesbrough Council","UTA","E14000819","E14000820,E14000891"
"Northumberland UA","E06000048","78.8","224","82.5","246","18.4","210","20.5","262","144312","Northumberland Council","UTA","E14001014,E14000554,E14000575","E14000574,E14000746"
"Redcar and Cleveland UA","E06000003","78.7","236","82","279","18.2","229","20.4","273","2597","Redcar and Cleveland Borough Council","UTA","","E14000820,E14000891"
"Stockton-on-Tees UA","E06000004","78.3","254","82.3","254","17.8","278","20.7","251","2611","Stockton-on-Tees Borough Council","UTA","E14000970,E14000971",""
"Gateshead","E08000020","77.2","320","81.3","316","17.6","296","19.5","329","144311","Gateshead Borough Council","MTD","E14000709","E14000574,E14000746,E14000765"
"Newcastle upon Tyne","E08000021","77.5","307","81.4","315","17.3","321","19.9","311","2529","Newcastle upon Tyne City Council","MTD","E14000832,E14000833,E14000831",""
"North Tyneside","E08000022","78.1","267","82","278","17.6","306","20.5","265","2530","North Tyneside Borough Council","MTD","E14000853,E14001006",""
"South Tyneside","E08000023","76.8","331","81.2","320","16.8","339","19.9","315","2539","South Tyneside Borough Council","MTD","E14000944","E14000765"
"Sunderland","E08000024","77","325","80.7","332","17.3","322","19.3","338","2542","Sunderland City Council","MTD","E14000982,E14000754,E14001020",""
"Blackburn with Darwen UA","E06000008","76.5","337","80.9","329","17.4","317","19.4","332","2552","Blackburn with Darwen Borough Council","UTA","E14000570","E14000902"
"Blackpool UA","E06000009","74","346","80","344","16.5","344","19.3","335","2553","Blackpool Borough Council","UTA","E14000573","E14000572"
"Cheshire East UA","E06000049","80.4","99","83.4","167","19.2","108","21.2","182","21069","Cheshire East Council","UTA","E14000653,E14000646,E14000802","E14000686,E14000987"
"Cheshire West and Chester UA","E06000050","79.2","200","82.8","215","18.6","198","20.8","240","21068","Cheshire West and Chester Council","UTA","E14000640,E14000688","E14000686,E14001024,E14000987"
"Halton UA","E06000006","77.1","321","80.6","336","17","335","19.3","336","2580","Halton Borough Council","UTA","E14000725","E14001024"
"Warrington UA","E06000007","78.2","265","82","284","17.6","295","20.3","295","2618","Warrington Borough Council","UTA","E14001017,E14001018",""
"Allerdale","E07000026","78.2","262","81.9","287","17.9","267","20.3","284","2274","Allerdale Borough Council","DIS","E14001053","E14000647,E14000877"
"Barrow-in-Furness","E07000027","77.1","323","81.4","313","18.1","241","20.1","305","2276","Barrow-in-Furness Borough Council","DIS","",""
"Carlisle","E07000028","78.5","244","82","281","18.4","213","20.3","286","2272","Carlisle City Council","DIS","E14000620","E14000877"
"Copeland","E07000029","77.6","297","81.4","312","17.8","282","20","309","2271","Copeland Borough Council","DIS","",""
"Eden","E07000030","80.3","106","84.1","94","19.2","109","21.9","87","2275","Eden District Council","DIS","",""
"South Lakeland","E07000031","80.9","63","83.4","156","19.6","53","21.5","148","2273","South Lakeland District Council","DIS","E14001037","E14000543"
"Bolton","E08000001","77.4","313","81.4","314","17.5","313","20.1","306","2515","Bolton Borough Council","MTD","E14000578,E14000579","E14000580"
"Bury","E08000002","78","270","81","326","17.8","280","19.6","325","2517","Bury Borough Council","MTD","E14000612,E14000611",""
"Manchester","E08000003","74.8","345","79.5","346","15.8","346","18.8","344","2528","Manchester City Council","MTD","E14000809,E14000808,E14000807","E14000571,E14001059"
"Oldham","E08000004","77.1","322","81.1","323","17.1","330","19.8","320","2531","Oldham Borough Council","MTD","E14000870,E14000871","E14000537"
"Rochdale","E08000005","76.8","329","80.8","331","17.4","315","19.8","319","2532","Rochdale Borough Council","MTD","E14000747,E14000897",""
"Salford","E08000006","76.1","342","80.5","340","16.7","341","19.2","340","2534","Salford City Council","MTD","E14000911,E14001054","E14000571"
"Stockport","E08000007","79.8","154","83.1","189","19.1","131","21.3","162","2540","Stockport Borough Council","MTD","E14000738,E14000969,E14000627","E14000661"
"Tameside","E08000008","76.3","339","80.6","334","17","336","19.1","342","2543","Tameside Borough Council","MTD","E14000967","E14000661,E14000537"
"Trafford","E08000009","79.6","163","83.7","126","18.7","181","21.7","114","2544","Trafford Borough Council","MTD","E14000532,E14000979","E14001059"
"Wigan","E08000010","77.4","317","80.8","330","17.2","326","19.3","334","2547","Wigan Borough Council","MTD","E14001039,E14000805,E14000785","E14000580"
"Burnley","E07000117","75.7","344","80.5","337","16.8","338","19.4","330","2371","Burnley Borough Council","DIS","E14000609",""
"Chorley","E07000118","79","216","81.9","290","18.3","228","20.2","304","2362","Chorley Borough Council","DIS","E14000637","E14000943"
"Fylde","E07000119","79.1","212","82.8","217","18.9","154","21.2","176","2365","Fylde Borough Council","DIS","",""
"Hyndburn","E07000120","76.5","336","81","325","17.4","316","19.3","339","2370","Hyndburn Borough Council","DIS","",""
"Lancaster","E07000121","77.4","314","82.2","264","17.6","300","20.8","234","2361","Lancaster City Council","DIS","E14000825","E14000776"
"Pendle","E07000122","77.9","282","81.7","301","18.4","208","20.6","259","2368","Pendle Borough Council","DIS","E14000875",""
"Preston","E07000123","77.4","318","81","328","17.6","305","20.1","307","2366","Preston City Council","DIS","E14000885","E14001057,E14000706"
"Ribble Valley","E07000124","80.5","98","84","105","18.8","169","21.2","174","2369","Ribble Valley Borough Council","DIS","",""
"Rossendale","E07000125","77.6","296","81.6","303","17.2","324","19.9","313","2364","Rossendale Borough Council","DIS","","E14000758,E14000902"
"South Ribble","E07000126","80.1","126","82.8","216","19.2","115","21.1","187","2363","South Ribble Borough Council","DIS","","E14000894,E14000943"
"West Lancashire","E07000127","78.7","233","82.5","245","18","250","20.4","275","2360","West Lancashire Borough Council","DIS","E14001033","E14000943"
"Wyre","E07000128","78.2","260","81.8","294","18.4","212","20.7","246","2367","Wyre Borough Council","DIS","","E14000776,E14001057,E14000572"
"Knowsley","E08000011","76.6","334","80.7","333","17.2","323","19.3","333","2525","Knowsley Borough Council","MTD","E14000775","E14000963,E14000708"
"Liverpool","E08000012","76.1","341","80.2","341","16.6","343","19.2","341","2527","Liverpool City Council","MTD","E14000795,E14000796,E14000794,E14000793","E14000708"
"Sefton","E08000014","77.5","306","82.8","220","17.8","277","21.2","178","2536","Sefton Borough Council","MTD","E14000916,E14000958,E14000581",""
"St. Helens","E08000013","78","271","81.6","304","17.9","271","19.9","312","2541","St Helens Borough Council","MTD","E14000962","E14000963"
"Wirral","E08000015","77.9","279","81.9","288","18","253","20.3","296","2548","Wirral Borough Council","MTD","E14000559,E14001010,E14001043,E14001044",""
"East Riding of Yorkshire UA","E06000011","79.6","168","82.9","210","18.7","186","20.8","244","2577","East Riding of Yorkshire Council","UTA","E14000724,E14000556,E14000683","E14000773,E14000596"
"Kingston upon Hull, City of UA","E06000010","76.6","335","80.5","339","16.8","337","19.4","331","2563","Hull City Council","UTA","E14000772,E14000771","E14000773"
"North East Lincolnshire UA","E06000012","77.9","284","81.9","289","17.8","281","20.3","288","2589","North East Lincolnshire Council","UTA","E14000716","E14000643"
"North Lincolnshire UA","E06000013","78.3","251","82.8","224","18","260","21","206","2591","North Lincolnshire Council","UTA","E14000914","E14000596,E14000643"
"York UA","E06000014","79.6","172","83.2","181","18.5","201","21.3","159","2625","City of York Council","UTA","E14001061,E14001062",""
"Craven","E07000163","80.6","82","84.6","42","19.6","58","21.9","81","2405","Craven District Council","DIS","",""
"Hambleton","E07000164","81.3","41","85.5","12","19.7","39","22.8","19","2409","Hambleton District Council","DIS","","E14000993,E14000895"
"Harrogate","E07000165","80.6","85","83.8","121","19.3","101","21.8","105","2407","Harrogate Borough Council","DIS","E14000730","E14000917,E14000928"
"Richmondshire","E07000166","80.2","120","83.1","192","19","142","20.9","215","2406","Richmondshire District Council","DIS","",""
"Ryedale","E07000167","80.7","74","83","201","19","144","21.1","185","2408","Ryedale District Council","DIS","",""
"Scarborough","E07000168","77.9","287","82.2","263","18.5","205","20.7","252","2403","Scarborough Borough Council","DIS","E14000913","E14000993"
"Selby","E07000169","79.4","180","83.5","145","18.6","195","21.1","192","2404","Selby District Council","DIS","",""
"Barnsley","E08000016","77.8","288","81.5","311","17.6","298","19.9","317","2513","Barnsley Borough Council","MTD","E14000541,E14000542","E14001028,E14000876"
"Doncaster","E08000017","77.5","305","81.7","297","17.5","312","20.4","281","2521","Doncaster Borough Council","MTD","E14000667,E14000668,E14000669","E14001028"
"Rotherham","E08000018","78","277","81.6","302","17.5","310","20.2","300","2533","Rotherham Borough Council","MTD","E14000903,E14000904","E14001028"
"Sheffield","E08000019","78.7","231","82.4","253","18","247","20.5","263","2537","Sheffield City Council","MTD","E14000923,E14000921,E14000922,E14000920,E14000919","E14000876"
"Bradford","E08000032","77.5","310","81.5","310","17.6","301","20.2","303","2516","Bradford City Council","MTD","E14000587,E14000766,E14000925,E14000588,E14000589",""
"Calderdale","E08000033","77.5","308","82.2","267","17.5","311","20.7","253","2518","Calderdale Borough Council","MTD","E14000723,E14000614",""
"Kirklees","E08000034","78.2","261","82","286","18","255","20.3","294","2524","Kirklees Borough Council","MTD","E14000756,E14000666,E14000548,E14000645",""
"Leeds","E08000035","78","272","82.1","272","17.7","292","20.3","291","2526","Leeds City Council","MTD","E14000886,E14000689,E14000777,E14000779,E14000778,E14000781,E14000780","E14000826"
"Wakefield","E08000036","77.8","291","81.3","317","17.6","303","19.9","316","2545","Wakefield City Council","MTD","E14001009,E14000836,E14000740","E14000826"
"Derby UA","E06000015","78.6","238","82.8","219","18.3","222","21.3","170","2562","Derby City Council","UTA","E14000663,E14000662","E14000814"
"Leicester UA","E06000016","77","326","81.8","293","17.3","320","20.3","292","2564","Leicester City Council","UTA","E14000784,E14000783,E14000782",""
"Nottingham UA","E06000018","76.9","328","81.5","307","16.8","340","20.5","266","2565","Nottingham City Council","UTA","E14000865,E14000866,E14000867",""
"Rutland UA","E06000017","81","54","84.7","35","20.1","17","22","71","2600","Rutland County Council","UTA","",""
"Amber Valley","E07000032","79.2","205","83.3","176","18.3","223","21","211","2281","Amber Valley Borough Council","DIS","E14000533","E14000664,E14000814"
"Bolsover","E07000033","77.9","283","82","282","17.1","329","19.6","326","2282","Bolsover District Council","DIS","",""
"Chesterfield","E07000034","77.7","293","82.3","261","17.6","293","20.6","260","2284","Chesterfield Borough Council","DIS","E14000632","E14000843"
"Derbyshire Dales","E07000035","81.1","48","84.3","79","19.4","79","21.8","103","2283","Derbyshire Dales District Council","DIS","",""
"Erewash","E07000036","79.8","153","83.6","131","18.3","221","21.7","115","2279","Erewash Borough Council","DIS","E14000695","E14000814"
"High Peak","E07000037","80","137","83.4","157","18.7","182","20.8","233","2277","High Peak Borough Council","DIS","E14000748",""
"North East Derbyshire","E07000038","79.7","159","83","202","18.8","162","20.8","238","2280","North East Derbyshire District Council","DIS","","E14000577,E14000843"
"South Derbyshire","E07000039","79.4","182","83.3","173","18","258","20.9","224","2278","South Derbyshire District Council","DIS","E14000935",""
"Blaby","E07000129","80.7","73","84.6","46","19.6","61","22.3","45","2376","Blaby District Council","DIS","","E14000625,E14000940"
"Charnwood","E07000130","79.6","165","83.6","136","18.6","188","21.5","139","2377","Charnwood Borough Council","DIS","E14000797","E14000625"
"Harborough","E07000131","80.3","105","84.8","31","19.4","86","22.4","35","2375","Harborough District Council","DIS","","E14000728,E14000909,E14000940"
"Hinckley and Bosworth","E07000132","80.2","115","84.5","60","18.6","189","22","62","2372","Hinckley and Bosworth Borough Council","DIS","E14000583","E14000625"
"Melton","E07000133","80.2","119","83.7","130","19.3","96","22","69","2374","Melton Borough Council","DIS","",""
"North West Leicestershire","E07000134","79.4","186","83","199","18.6","196","21","209","2373","North West Leicestershire District Council","DIS","E14000858",""
"Oadby and Wigston","E07000135","80.1","123","84.1","91","19","136","21.5","138","2378","Oadby and Wigston Borough Council","DIS","",""
"Boston","E07000136","78.8","226","82.5","242","18.8","173","20.8","236","2382","Boston Borough Council","DIS","",""
"East Lindsey","E07000137","77.8","290","81.8","292","18","259","20.6","254","2384","East Lindsey District Council","DIS","E14000798","E14000707,E14000582"
"Lincoln","E07000138","77.7","295","81.8","296","17.7","287","20.4","276","2385","Lincoln City Council","DIS","","E14000792,E14000929"
"North Kesteven","E07000139","80.7","80","83.3","170","19","132","21.4","155","2383","North Kesteven District Council","DIS","","E14000792,E14000929"
"South Holland","E07000140","79.6","171","83.4","163","19.1","119","21.5","147","2381","South Holland District Council","DIS","",""
"South Kesteven","E07000141","80.1","125","84","100","18.7","179","21.5","144","2380","South Kesteven District Council","DIS","E14000714","E14000929,E14000939"
"West Lindsey","E07000142","79.4","188","83","205","18.8","176","21.1","191","2379","West Lindsey District Council","DIS","",""
"Corby","E07000150","77.3","319","80.2","343","17.2","325","18.7","345","2398","Corby Borough Council","DIS","",""
"Daventry","E07000151","79.5","177","83.5","150","18.5","200","21.1","198","2394","Daventry District Council","DIS","",""
"East Northamptonshire","E07000152","80","135","83.1","185","18.8","165","20.9","230","2393","East Northamptonshire District Council","DIS","","E14000648,E14001025"
"Kettering","E07000153","79.2","202","82.7","229","18.2","233","21","210","2396","Kettering Borough Council","DIS","E14000769",""
"Northampton","E07000154","77.4","312","81.8","295","17.6","294","20.3","289","2397","Northampton Borough Council","DIS","E14000862,E14000861","E14000942"
"South Northamptonshire","E07000155","82.2","4","84.4","67","19.9","23","22.2","50","2392","South Northamptonshire District Council","DIS","","E14000942,E14000660"
"Wellingborough","E07000156","80","134","83.7","125","19.4","92","21.8","106","2395","Wellingborough Borough Council","DIS","","E14001025,E14000660"
"Ashfield","E07000170","77.6","301","81.7","298","17.1","331","19.9","314","2413","Ashfield District Council","DIS","","E14000924,E14000535"
"Bassetlaw","E07000171","78.6","240","82.1","269","18","262","20.4","278","2410","Bassetlaw District Council","DIS","E14000546","E14000829"
"Broxtowe","E07000172","80","136","83.6","135","18.6","194","21","213","2415","Broxtowe Borough Council","DIS","E14000607","E14000535"
"Gedling","E07000173","80.5","93","83.1","193","18.8","170","20.9","220","2412","Gedling Borough Council","DIS","E14000710","E14000924"
"Mansfield","E07000174","78.3","255","82.1","277","17.7","286","20.3","282","2416","Mansfield District Council","DIS","E14000810",""
"Newark and Sherwood","E07000175","79.3","195","82.7","232","18","251","20.7","245","2414","Newark and Sherwood District Council","DIS","","E14000924,E14000829"
"Rushcliffe","E07000176","80.9","59","84.4","70","19.4","89","22.1","61","2411","Rushcliffe Borough Council","DIS","E14000908","E14000829"
"Herefordshire, County of UA","E06000019","79.7","157","83.7","124","18.9","155","22","70","2571","Herefordshire Council","UTA","E14000743,E14000847",""
"Shropshire UA","E06000051","79.8","151","83.8","117","19","135","21.6","127","2238","Shropshire Council","UTA","E14000926,E14000799,E14000849","E14000992"
"Stoke-on-Trent UA","E06000021","76.7","332","80.5","338","17.2","327","19.8","322","2568","Stoke-on-Trent City Council","UTA","E14000972,E14000974","E14000973"
"Telford and Wrekin UA","E06000020","77.9","285","81.6","305","17.7","285","20.2","302","2613","Telford and Wrekin Council","UTA","E14000989","E14000992"
"Cannock Chase","E07000192","78.7","230","82.9","209","18","245","21","214","2438","Cannock Chase District Council","DIS","E14000618",""
"East Staffordshire","E07000193","78.5","246","82.9","211","18.3","226","21","208","2437","East Staffordshire Borough Council","DIS","E14000610","E14000791"
"Lichfield","E07000194","79.9","146","82.9","212","18.5","206","20.7","247","2434","Lichfield District Council","DIS","","E14000986,E14000791"
"Newcastle-under-Lyme","E07000195","78.9","221","82.3","256","18.4","211","20.5","270","2435","Newcastle-under-Lyme Borough Council","DIS","E14000834","E14000973,E14000966,E14000975"
"South Staffordshire","E07000196","80.1","130","83.2","182","18.7","184","21.2","173","2433","South Staffordshire District Council","DIS","E14000945","E14000965"
"Stafford","E07000197","80.3","104","83.6","133","19.6","51","21.5","140","2436","Stafford Borough Council","DIS","","E14000975,E14000965"
"Staffordshire Moorlands","E07000198","79.6","175","83.5","151","18.8","167","21.2","175","2432","Staffordshire Moorlands District Council","DIS","","E14000966,E14000975"
"Tamworth","E07000199","79.4","181","83","197","18.4","216","21.2","179","2439","Tamworth Borough Council","DIS","",""
"North Warwickshire","E07000218","78.7","232","82.3","258","17.9","274","20.3","290","2458","North Warwickshire Borough Council","DIS","","E14000868,E14000854"
"Nuneaton and Bedworth","E07000219","78.2","266","82.6","237","17.6","302","20.5","268","2462","Nuneaton and Bedworth Borough Council","DIS","","E14000905,E14000868,E14000854"
"Rugby","E07000220","80.2","116","83.7","129","19.3","104","21.7","118","2459","Rugby Borough Council","DIS","","E14000905,E14000767"
"Stratford-on-Avon","E07000221","81","57","84.9","27","19.8","36","22.6","27","2461","Stratford-on-Avon District Council","DIS","E14000977","E14000767"
"Warwick","E07000222","80.4","100","84.7","36","19.4","88","22.7","23","2460","Warwick District Council","DIS","E14001019","E14000767"
"Birmingham","E08000025","77.6","303","82.1","276","17.8","275","20.6","255","2514","Birmingham City Council","MTD","E14000562,E14000561,E14000985,E14000568,E14000567,E14000560,E14000565,E14000564,E14000566,E14000563",""
"Coventry","E08000026","78.1","268","82.1","270","18.3","225","20.8","232","2520","Coventry City Council","MTD","E14000650,E14000649,E14000651",""
"Dudley","E08000027","78.9","222","83","195","18.4","215","21.2","180","2522","Dudley Borough Council","MTD","E14000976,E14000671,E14000672","E14001050,E14000722,E14001016"
"Sandwell","E08000028","76.8","330","81.3","318","17","332","20.3","293","2535","Sandwell Borough Council","MTD","E14001029,E14001030","E14000722,E14001016"
"Solihull","E08000029","80.7","79","84.6","41","19.4","85","22.5","31","2538","Solihull Borough Council","MTD","E14000931,E14000812",""
"Walsall","E08000030","77.9","281","82.3","255","18.1","240","20.9","225","2546","Walsall Borough Council","MTD","E14000531,E14001012,E14001011",""
"Wolverhampton","E08000031","77.4","316","81.7","299","17.7","284","20.3","283","2519","Wolverhampton City Council","MTD","E14001049,E14001051","E14001050"
"Bromsgrove","E07000234","80.4","103","83.5","140","18.8","171","20.8","231","2477","Bromsgrove District Council","DIS","E14000605",""
"Malvern Hills","E07000235","80.4","102","83.4","159","19.2","114","21","199","2474","Malvern Hills District Council","DIS","",""
"Redditch","E07000236","78.9","218","82.9","214","18.2","235","20.8","237","2479","Redditch Borough Council","DIS","",""
"Worcester","E07000237","78.8","225","83.3","177","18.2","234","21.5","151","2478","Worcester City Council","DIS","E14001052",""
"Wychavon","E07000238","80.7","75","84.6","43","19.9","31","22.4","34","2476","Wychavon District Council","DIS","E14000818","E14000892,E14001035"
"Wyre Forest","E07000239","79.2","206","83","196","18.8","172","21.1","186","2475","Wyre Forest District Council","DIS","E14001058",""
"Bedford UA","E06000055","79.3","190","83.1","184","19","134","21.5","146","2253","Bedford Borough Council","UTA","E14000552","E14000813,E14000841"
"Central Bedfordshire UA","E06000056","80.5","96","84","101","19.2","106","21.6","125","21070","Central Bedfordshire Council","UTA","E14000949","E14000813,E14000841,E14000801"
"Luton UA","E06000032","78","276","82.1","275","18","256","20.5","271","2583","Luton Borough Council","UTA","E14000800","E14000801"
"Peterborough UA","E06000031","77.9","278","82.5","248","17.9","270","20.9","222","2566","Peterborough City Council","UTA","","E14000855,E14000878,E14000842"
"Southend-on-Sea UA","E06000033","79.7","161","82.6","238","18.6","193","20.9","223","2607","Southend-on-Sea Borough Council","UTA","E14000957","E14000899"
"Thurrock UA","E06000034","79.2","203","82.4","249","17.9","266","20.4","280","2615","Thurrock Borough Council","UTA","E14000995","E14000933,E14000751"
"Cambridge","E07000008","79.9","141","84.5","50","19.1","124","22","67","2263","Cambridge City Council","DIS","E14000617","E14000934"
"East Cambridgeshire","E07000009","81.5","25","85.3","16","19.9","25","22.8","18","2261","East Cambridgeshire District Council","DIS","","E14000937,E14000842"
"Fenland","E07000010","79.1","214","82.8","218","18.7","185","21.1","189","2259","Fenland District Council","DIS","","E14000878,E14000842"
"Huntingdonshire","E07000011","80.9","60","84.4","71","19.5","69","21.7","108","2262","Huntingdonshire District Council","DIS","E14000757","E14000855"
"South Cambridgeshire","E07000012","82.8","3","85.9","5","20.5","8","23.3","7","2260","South Cambridgeshire District Council","DIS","","E14000934,E14000937"
"Basildon","E07000066","79.5","176","82.9","213","18.8","175","20.9","228","2319","Basildon Borough Council","DIS","E14000544","E14000888,E14000933"
"Braintree","E07000067","79.6","167","83","203","18.2","230","20.9","226","2317","Braintree District Council","DIS","E14000590","E14001045"
"Brentwood","E07000068","81.4","33","84.4","64","20","20","21.9","83","2309","Brentwood Borough Council","DIS","",""
"Castle Point","E07000069","79.9","147","82.8","221","18.9","149","20.9","227","2320","Castle Point Borough Council","DIS","E14000622",""
"Chelmsford","E07000070","80.7","71","84.3","80","19.5","71","21.9","90","2314","Chelmsford Borough Council","DIS","E14000628","E14000910,E14000806"
"Colchester","E07000071","79.7","156","83.4","153","18.9","146","21.3","164","2315","Colchester Borough Council","DIS","E14000644","E14000734,E14001045"
"Epping Forest","E07000072","80.2","114","83.8","123","19.3","103","21.5","143","2311","Epping Forest District Council","DIS","E14000693","E14000594,E14000729"
"Harlow","E07000073","78.2","263","82.4","252","18.5","207","20.9","229","2318","Harlow District Council","DIS","",""
"Maldon","E07000074","80.6","87","83.4","161","19.4","77","21.2","177","2316","Maldon District Council","DIS","","E14000806,E14001045"
"Rochford","E07000075","81.2","42","84.6","45","19.6","52","22","63","2310","Rochford District Council","DIS","","E14000899,E14000888"
"Tendring","E07000076","78","275","81.9","291","17.9","264","20.8","239","2312","Tendring District Council","DIS","E14000642","E14000734"
"Uttlesford","E07000077","81.8","16","85.1","21","20.2","13","22.4","40","2313","Uttlesford District Council","DIS","",""
"Broxbourne","E07000095","80.7","77","84.4","63","19.4","90","22.1","55","2340","Broxbourne Borough Council","DIS","",""
"Dacorum","E07000096","80.3","111","84.5","62","19.1","122","22.1","58","2341","Dacorum Borough Council","DIS","E14000739","E14000951"
"East Hertfordshire","E07000097","81","53","84.1","95","19.4","74","21.6","122","144309","East Hertfordshire District Council","DIS","E14000744","E14000968,E14000845"
"Hertsmere","E07000098","80.7","78","83.5","144","19.8","33","21.6","130","2339","Hertsmere Borough Council","DIS","E14000745",""
"North Hertfordshire","E07000099","79.9","140","82.8","222","18.5","202","20.5","269","2345","North Hertfordshire District Council","DIS","","E14000968,E14000749,E14000845"
"St Albans","E07000100","81.7","17","85.3","17","19.7","40","22.8","17","141648","St Albans Borough Council","DIS","","E14001021,E14000960,E14000749,E14001027,E14000739"
"Stevenage","E07000101","79.6","169","82.6","240","18.1","238","20.9","217","144310","Stevenage Borough Council","DIS","","E14000968,E14000845"
"Three Rivers","E07000102","80.3","109","84.5","54","18.9","148","22.1","57","2338","Three Rivers District Council","DIS","","E14000951,E14001021,E14000960"
"Watford","E07000103","79.2","201","82.3","259","17.9","272","20.3","287","2346","Watford Borough Council","DIS","",""
"Welwyn Hatfield","E07000104","80.1","129","83.6","134","18.9","152","21.7","119","141649","Welwyn Hatfield Borough Council","DIS","","E14000968,E14000606,E14000960,E14001027,E14000845"
"Breckland","E07000143","80.1","131","83.3","175","19","138","21.1","194","2390","Breckland District Council","DIS","","E14000952,E14000816"
