sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country","population_total","population_male","population_female","deaths_num_total","deaths_num_male","deaths_num_female","deaths_num_infant","deaths_num_neonatal","deaths_num_perinatal","deaths_rate_crude","deaths_rate_agestd_total","deaths_rate_agestd_male","deaths_rate_agestd_female","deaths_rate_infant","deaths_rate_neonatal","deaths_rate_perinatal","match_type","matched_by"
"Owen Patterson","1","North Shropshire","Conservative","1665","4760","2106","http://sexymp.co.uk/mp/473.jpg","E14000849","66017","North Shropshire","England","307100","152200","154900","2987","1395","1592","10","7","14","9.7","485.3","555","425.4","3.5","2.4","4.8","covered_by","E06000051"
"Charlotte Leslie","2","Bristol North West","Conservative","1654","49488","29809","http://sexymp.co.uk/mp/359.jpg","E14000600","66009","Bristol North West","England","428100","213400","214700","3290","1595","1695","20","17","45","7.7","556.2","668.5","464.2","3","2.5","6.7","covered_by","E06000023"
"Eilidh Whiteford","3","Banff and Buchan","Scottish National Party","1630","45624","28215","http://sexymp.co.uk/mp/619.jpg","S14000007","14404","Banff and Buchan","Scotland","247600","122900","124700","2191","1074","1117","8","3","17","8.8","550.4","631.5","479.4","3","1.1","6.3","covered_by","S12000034"
"Sarah Wollaston","4","Totnes","Conservative","1615","38789","25747","http://sexymp.co.uk/mp/639.jpg","E14001001","65810","Totnes","England","320833.3333333333","155533.33333333334","165300","3549","1631.6666666666667","1917.3333333333333","13.666666666666666","10.333333333333334","21","11.299999999999999","478.9666666666667","550.1333333333333","417","2.8333333333333335","2.1999999999999997","4.533333333333333","overlapped_by (calculated average)","E06000027,E10000008,E07000044"
"Nicola Blackwood","5","Oxford West and Abingdon","Conservative","1587","42739","27531","http://sexymp.co.uk/mp/54.jpg","E14000874","65564","Oxford West and Abingdon","England","654800","324100","330700","5058","2476","2582","31","22","54","7.7","476.2","566.8","400.2","3.6","2.6","6.3","covered_by","E10000025"
"Rebecca Harris","6","Castle Point","Conservative","1590","42857","27905","http://sexymp.co.uk/mp/266.jpg","E14000622","65914","Castle Point","England","88000","42900","45100","905","442","463","4","4","7","10.3","489.9","579.4","429.6","4.9","4.9","8.6","covered_by","E07000069"
"Penny Mordaunt","7","Portsmouth North","Conservative","1532","46342","27939","http://sexymp.co.uk/mp/430.jpg","E14000883","65566","Portsmouth North","England","205400","103900","101600","1706","839","867","4","3","13","8.3","601","729.6","495.5","1.5","1.1","4.8","covered_by","E06000044"
"Caroline Nokes","8","Romsey and Southampton North","Conservative","1562","41291","26328","http://sexymp.co.uk/mp/456.jpg","E14000901","65884","Romsey and Southampton North","England","558233.3333333334","274600","283633.3333333333","4703","2241","2462","22.333333333333332","12.666666666666666","36.666666666666664","8.066666666666666","485.26666666666665","582.4999999999999","403.8666666666666","3.1666666666666665","1.2333333333333334","4.466666666666666","overlapped_by (calculated average)","E06000045,E10000014,E07000093"
"Esther Mcvey","9","Wirral West","Conservative","1553","43044","27640","http://sexymp.co.uk/mp/412.jpg","E14001044","65897","Wirral West","England","319800","153800","166000","3370","1589","1781","17","15","34","10.5","567.6","683.7","467.3","4.5","3.9","8.9","covered_by","E08000015"
"Richard Benyon","10","Newbury","Conservative","1586","3776","2552","http://sexymp.co.uk/mp/43.jpg","E14000830","65862","Newbury","England","154100","76400","77700","1122","581","541","8","5","11","7.3","471.7","573.3","386.1","4","2.5","5.5","covered_by","E06000037"
"Claire Perry","11","Devizes","Conservative","1556","42780","27672","http://sexymp.co.uk/mp/480.jpg","E14000665","65723","Devizes","England","474300","234300","240100","4138","1964","2174","19","17","39","8.7","476","553.2","413.3","3.5","3.1","7.1","covered_by","E06000054"
"Priti Patel","12","Witham","Conservative","1586","39659","27480","http://sexymp.co.uk/mp/472.jpg","E14001045","65831","Witham","England","1396600","681800","714800","12864","6082","6782","64","46","113","9.2","499","580.6","430.9","3.9","2.8","6.9","covered_by","E10000012"
