sep=,
"name","ranking","constituency","party","score","won","lost","image","gender","area_gss_code","area_id","area_mapit_name","country","life_exp_birth_male_years","life_exp_birth_male_rank","life_exp_birth_female_years","life_exp_birth_female_rank","life_exp_65_male_years","life_exp_65_male_rank","life_exp_65_female_years","life_exp_65_female_rank","match_type","matched_by"
"Owen Patterson","1","North Shropshire","Conservative","1903","4975","2130","http://sexymp.co.uk/mp/473.jpg","M","E14000849","66017","North Shropshire","England","79.8","151","83.8","117","19","135","21.6","127","covered_by","E06000051"
"Charlotte Leslie","2","Bristol North West","Conservative","1965","50809","30261","http://sexymp.co.uk/mp/359.jpg","F","E14000600","66009","Bristol North West","England","78.3","253","83","206","17.9","268","21.1","193","covered_by","E06000023"
"Eilidh Whiteford","3","Banff and Buchan","Scottish National Party","1937","46902","28774","http://sexymp.co.uk/mp/619.jpg","F","S14000007","14404","Banff and Buchan","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Penny Mordaunt","4","Portsmouth North","Conservative","1901","47575","28419","http://sexymp.co.uk/mp/430.jpg","F","E14000883","65566","Portsmouth North","England","78.2","264","82.6","234","17.6","297","20.8","241","covered_by","E06000044"
"Esther Mcvey","5","Wirral West","Conservative","1888","44381","28114","http://sexymp.co.uk/mp/412.jpg","F","E14001044","65897","Wirral West","England","77.9","279","81.9","288","18","253","20.3","296","covered_by","E08000015"
"Sarah Wollaston","6","Totnes","Conservative","1887","39947","26187","http://sexymp.co.uk/mp/639.jpg","F","E14001001","65810","Totnes","England","80.19999999999999","122.5","83.55000000000001","144","19.5","75.5","21.6","126.5","overlapped_by (calculated average)","E06000027,E07000044"
"Nicola Blackwood","7","Oxford West and Abingdon","Conservative","1846","44036","27996","http://sexymp.co.uk/mp/54.jpg","F","E14000874","65564","Oxford West and Abingdon","England","80.13333333333334","125.33333333333333","83.76666666666667","123","19.166666666666668","117.66666666666667","21.8","97","overlapped_by (calculated average)","E07000177,E07000178,E07000180"
"Rebecca Harris","8","Castle Point","Conservative","1853","44118","28426","http://sexymp.co.uk/mp/266.jpg","F","E14000622","65914","Castle Point","England","79.9","147","82.8","221","18.9","149","20.9","227","covered_by","E07000069"
"Claire Perry","9","Devizes","Conservative","1839","44013","28114","http://sexymp.co.uk/mp/480.jpg","F","E14000665","65723","Devizes","England","80.4","101","83.9","108","19.3","98","21.8","104","covered_by","E06000054"
"Mary Macleod","10","Brentford and Isleworth","Conservative","1842","43751","28685","http://sexymp.co.uk/mp/380.jpg","F","E14000593","65958","Brentford and Isleworth","England","79.5","178","83.3","172","18.6","199","21.6","136","covered_by","E09000018"
"Caroline Nokes","11","Romsey and Southampton North","Conservative","1801","42517","26805","http://sexymp.co.uk/mp/456.jpg","F","E14000901","65884","Romsey and Southampton North","England","79.65","156","83.65","132.5","18.8","163","21.5","136","overlapped_by (calculated average)","E06000045,E07000093"
"Anna Soubry","12","Broxtowe","Conservative","1842","39438","26675","http://sexymp.co.uk/mp/555.jpg","F","E14000607","65849","Broxtowe","England","80","136","83.6","135","18.6","194","21","213","covered_by","E07000172"
"Amber Rudd","13","Hastings and Rye","Conservative","1821","38680","26635","http://sexymp.co.uk/mp/519.jpg","F","E14000735","65640","Hastings and Rye","England","80.1","124","83.9","112","19.3","97","22","76","overlapped_by (calculated average)","E07000064"
"Sarah Teather","14","Brent Central","Liberal Democrat","1783","49765","34279","http://sexymp.co.uk/mp/581.jpg","F","E14000591","66065","Brent Central","England","79.9","145","84.5","59","19.2","105","22.4","36","covered_by","E09000005"
"Theresa Villiers","15","Chipping Barnet","Conservative","1701","40574","27999","http://sexymp.co.uk/mp/603.jpg","F","E14000636","65886","Chipping Barnet","England","81.4","32","84.5","53","19.9","22","22.3","44","covered_by","E09000003"
"Priti Patel","16","Witham","Conservative","1687","40786","28063","http://sexymp.co.uk/mp/472.jpg","F","E14001045","65831","Witham","England","79.96666666666667","136.66666666666666","83.26666666666667","172.33333333333334","18.833333333333332","151","21.133333333333336","189","overlapped_by (calculated average)","E07000067,E07000071,E07000074"
"Nicky Morgan","17","Loughborough","Conservative","1759","35716","27450","http://sexymp.co.uk/mp/432.jpg","F","E14000797","65785","Loughborough","England","79.6","165","83.6","136","18.6","188","21.5","139","covered_by","E07000130"
"Elizabeth Truss","18","South West Norfolk","Conservative","1717","40659","29657","http://sexymp.co.uk/mp/590.jpg","F","E14000952","65652","South West Norfolk","England","79.85","148.5","83.65","140.5","19.05","129.5","21.450000000000003","146","overlapped_by (calculated average)","E07000143,E07000146"
"Jessica Lee","19","Erewash","Conservative","1838","31601","27717","http://sexymp.co.uk/mp/354.jpg","F","E14000695","65743","Erewash","England","79.8","153","83.6","131","18.3","221","21.7","115","covered_by","E07000036"
"Caroline Spelman","20","Meriden","Conservative","1725","35371","27533","http://sexymp.co.uk/mp/557.jpg","F","E14000812","65932","Meriden","England","80.7","79","84.6","41","19.4","85","22.5","31","covered_by","E08000029"
"Maria Miller","21","Basingstoke","Conservative","1684","35646","26670","http://sexymp.co.uk/mp/423.jpg","F","E14000545","65623","Basingstoke","England","80.8","66","83","198","19.6","57","20.6","257","covered_by","E07000084"
"Anne Marie Morris","22","Newton Abbot","Conservative","1807","30892","27071","http://sexymp.co.uk/mp/434.jpg","F","E14000835","65828","Newton Abbot","England","80.1","133","84","107","18.9","157","21.9","85","covered_by","E07000045"
"Caroline Dinenage","23","Gosport","Conservative","1627","39455","27572","http://sexymp.co.uk/mp/154.jpg","F","E14000713","65928","Gosport","England","80.9","61","83.9","111","19.2","112","21.7","116","overlapped_by (calculated average)","E07000087"
"Nadine Dorries","24","Mid Bedfordshire","Conservative","1664","38230","28229","http://sexymp.co.uk/mp/165.jpg","F","E14000813","65718","Mid Bedfordshire","England","79.9","143","83.55","142.5","19.1","120","21.55","135.5","overlapped_by (calculated average)","E06000055,E06000056"
"Karen Bradley","25","Staffordshire Moorlands","Conservative","1731","33655","27785","http://sexymp.co.uk/mp/63.jpg","F","E14000966","65907","Staffordshire Moorlands","England","79.25","198","82.9","203.5","18.6","189","20.85","222.5","overlapped_by (calculated average)","E07000195,E07000198"
"Harriet Baldwin","26","West Worcestershire","Conservative","1646","36148","26759","http://sexymp.co.uk/mp/26.jpg","F","E14001035","65758","West Worcestershire","England","80.7","75","84.6","43","19.9","31","22.4","34","overlapped_by (calculated average)","E07000238"
"Eleanor Laing","27","Epping Forest","Conservative","1654","37208","27829","http://sexymp.co.uk/mp/344.jpg","F","E14000693","66044","Epping Forest","England","80.2","114","83.8","123","19.3","103","21.5","143","covered_by","E07000072"
"Chloe Smith","28","Norwich North","Conservative","1694","37026","29274","http://sexymp.co.uk/mp/548.jpg","F","E14000863","65768","Norwich North","England","81.4","31","84.1","93","19.6","67","21.6","135","covered_by","E07000144"
"Anne Maine","29","St Albans","Conservative","1624","35766","27184","http://sexymp.co.uk/mp/386.jpg","F","E14000960","65715","St Albans","England","80.7","85","84.46666666666667","68.33333333333333","19.166666666666664","113.33333333333333","22.200000000000003","64.33333333333333","overlapped_by (calculated average)","E07000100,E07000102,E07000104"
"Richard Drax","30","South Dorset","Conservative","1406","4583","2407","http://sexymp.co.uk/mp/169.jpg","M","E14000936","65788","South Dorset","England","80.9","62.5","85.8","13.5","19.950000000000003","33.5","23","20","overlapped_by (calculated average)","E07000051,E07000052"
"Justine Greening","31","Putney","Conservative","1674","35534","29141","http://sexymp.co.uk/mp/243.jpg","F","E14000887","66045","Putney","England","79.1","210","83.2","180","18.1","243","20.9","219","covered_by","E09000032"
"Louise Bagshawe","32","Corby","Conservative","1623","41006","32476","http://sexymp.co.uk/mp/20.jpg","F","E14000648","65590","Corby","England","80","135","83.1","185","18.8","165","20.9","230","overlapped_by (calculated average)","E07000152"
"Helen Grant","33","Maidstone and The Weald","Conservative","1641","33405","27598","http://sexymp.co.uk/mp/237.jpg","F","E14000804","65936","Maidstone and The Weald","England","80.65","86.5","84.25","89","19.200000000000003","115","21.8","110.5","overlapped_by (calculated average)","E07000110,E07000116"
"Chris Skidmore","34","Kingswood","Conservative","1448","3660","2302","http://sexymp.co.uk/mp/543.jpg","M","E14000774","66053","Kingswood","England","81","52","84.6","48","19.6","60","21.8","93","covered_by","E06000025"
"Robin Walker","35","Worcester","Conservative","1440","3693","2307","http://sexymp.co.uk/mp/605.jpg","M","E14001052","65577","Worcester","England","78.8","225","83.3","177","18.2","234","21.5","151","covered_by","E07000237"
"Angela Watkinson","36","Hornchurch and Upminster","Conservative","1684","30811","27766","http://sexymp.co.uk/mp/610.jpg","F","E14000751","66069","Hornchurch and Upminster","England","79.25","197","83.1","183.5","18.25","231.5","21.1","186","overlapped_by (calculated average)","E06000034,E09000016"
"Aiden Burley","37","Cannock Chase","Conservative","1455","3544","2293","http://sexymp.co.uk/mp/85.jpg","M","E14000618","65790","Cannock Chase","England","78.7","230","82.9","209","18","245","21","214","covered_by","E07000192"
"Charlie Elphicke","38","Dover","Conservative","1477","3420","2318","http://sexymp.co.uk/mp/186.jpg","M","E14000670","65555","Dover","England","79.2","198","82.3","260","18.8","164","20.7","250","covered_by","E07000108"
"Rob Wilson","39","Reading East","Conservative","1506","3369","2400","http://sexymp.co.uk/mp/634.jpg","M","E14000889","65973","Reading East","England","80","136","83.6","140","18.9","143","21.35","158.5","overlapped_by (calculated average)","E06000038,E06000041"
"Andrew Griffiths","40","Burton","Conservative","1488","3273","2300","http://sexymp.co.uk/mp/247.jpg","M","E14000610","65708","Burton","England","78.5","246","82.9","211","18.3","226","21","208","covered_by","E07000193"
"Stephen Barclay","41","North East Cambridgeshire","Conservative","1433","3539","2262","http://sexymp.co.uk/mp/29.jpg","M","E14000842","66063","North East Cambridgeshire","England","79.5","172.33333333333334","83.53333333333335","160.66666666666666","18.833333333333332","160","21.600000000000005","143","overlapped_by (calculated average)","E06000031,E07000009,E07000010"
