sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country","life_exp_birth_male_years","life_exp_birth_male_rank","life_exp_birth_female_years","life_exp_birth_female_rank","life_exp_65_male_years","life_exp_65_male_rank","life_exp_65_female_years","life_exp_65_female_rank","match_type","matched_by"
"Owen Patterson","1","North Shropshire","Conservative","1874","4914","2126","http://sexymp.co.uk/mp/473.jpg","E14000849","66017","North Shropshire","England","79.8","151","83.8","117","19","135","21.6","127","covered_by","E06000051"
"Nicola Blackwood","2","Oxford West and Abingdon","Conservative","1868","43751","27918","http://sexymp.co.uk/mp/54.jpg","E14000874","65564","Oxford West and Abingdon","England","80.13333333333334","125.33333333333333","83.76666666666667","123","19.166666666666668","117.66666666666667","21.8","97","overlapped_by (calculated average)","E07000177,E07000178,E07000180"
"Charlotte Leslie","3","Bristol North West","Conservative","1788","50496","30183","http://sexymp.co.uk/mp/359.jpg","E14000600","66009","Bristol North West","England","78.3","253","83","206","17.9","268","21.1","193","covered_by","E06000023"
"Claire Perry","4","Devizes","Conservative","1836","43745","28040","http://sexymp.co.uk/mp/480.jpg","E14000665","65723","Devizes","England","80.4","101","83.9","108","19.3","98","21.8","104","covered_by","E06000054"
"Esther Mcvey","5","Wirral West","Conservative","1806","44065","28042","http://sexymp.co.uk/mp/412.jpg","E14001044","65897","Wirral West","England","77.9","279","81.9","288","18","253","20.3","296","covered_by","E08000015"
"Penny Mordaunt","6","Portsmouth North","Conservative","1751","47270","28344","http://sexymp.co.uk/mp/430.jpg","E14000883","65566","Portsmouth North","England","78.2","264","82.6","234","17.6","297","20.8","241","covered_by","E06000044"
"Mary Macleod","7","Brentford and Isleworth","Conservative","1775","43488","28606","http://sexymp.co.uk/mp/380.jpg","E14000593","65958","Brentford and Isleworth","England","79.5","178","83.3","172","18.6","199","21.6","136","covered_by","E09000018"
"Caroline Nokes","8","Romsey and Southampton North","Conservative","1730","42207","26723","http://sexymp.co.uk/mp/456.jpg","E14000901","65884","Romsey and Southampton North","England","79.65","156","83.65","132.5","18.8","163","21.5","136","overlapped_by (calculated average)","E06000045,E07000093"
"Sarah Wollaston","9","Totnes","Conservative","1745","39697","26121","http://sexymp.co.uk/mp/639.jpg","E14001001","65810","Totnes","England","80.19999999999999","122.5","83.55000000000001","144","19.5","75.5","21.6","126.5","overlapped_by (calculated average)","E06000027,E07000044"
"Rebecca Harris","10","Castle Point","Conservative","1696","43856","28349","http://sexymp.co.uk/mp/266.jpg","E14000622","65914","Castle Point","England","79.9","147","82.8","221","18.9","149","20.9","227","covered_by","E07000069"
