sep=,
"name","ranking","constituency","party","score","won","lost","image"
"Owen Patterson","1","North Shropshire","Conservative","1665","4760","2106","http://sexymp.co.uk/mp/473.jpg"
"Charlotte Leslie","2","Bristol North West","Conservative","1654","49488","29809","http://sexymp.co.uk/mp/359.jpg"
"Eilidh Whiteford","3","Banff and Buchan","Scottish National Party","1630","45624","28215","http://sexymp.co.uk/mp/619.jpg"
"Sarah Wollaston","4","Totnes","Conservative","1615","38789","25747","http://sexymp.co.uk/mp/639.jpg"
"Nicola Blackwood","5","Oxford West and Abingdon","Conservative","1587","42739","27531","http://sexymp.co.uk/mp/54.jpg"
"Rebecca Harris","6","Castle Point","Conservative","1590","42857","27905","http://sexymp.co.uk/mp/266.jpg"
"Penny Mordaunt","7","Portsmouth North","Conservative","1532","46342","27939","http://sexymp.co.uk/mp/430.jpg"
"Caroline Nokes","8","Romsey and Southampton North","Conservative","1562","41291","26328","http://sexymp.co.uk/mp/456.jpg"
"Esther Mcvey","9","Wirral West","Conservative","1553","43044","27640","http://sexymp.co.uk/mp/412.jpg"
"Richard Benyon","10","Newbury","Conservative","1586","3776","2552","http://sexymp.co.uk/mp/43.jpg"
"Claire Perry","11","Devizes","Conservative","1556","42780","27672","http://sexymp.co.uk/mp/480.jpg"
"Priti Patel","12","Witham","Conservative","1586","39659","27480","http://sexymp.co.uk/mp/472.jpg"
"Anna Soubry","13","Broxtowe","Conservative","1566","38268","26179","http://sexymp.co.uk/mp/555.jpg"
"Chris White","14","Warwick and Leamington","Conservative","1520","3381","2167","http://sexymp.co.uk/mp/618.jpg"
"Richard Drax","15","South Dorset","Conservative","1397","4471","2280","http://sexymp.co.uk/mp/169.jpg"
"Eric Ollerenshaw","16","Lancaster and Fleetwood","Conservative","1193","16089","4662","http://sexymp.co.uk/mp/462.jpg"
"Nick Herbert","17","Arundel and South Downs","Conservative","1565","3252","2263","http://sexymp.co.uk/mp/282.jpg"
"Mary Macleod","18","Brentford and Isleworth","Conservative","1533","42477","28235","http://sexymp.co.uk/mp/380.jpg"
"Mark Harper","19","Forest of Dean","Conservative","1482","3752","2294","http://sexymp.co.uk/mp/264.jpg"
"Jamie Reed","20","Copeland","Labour","1512","4077","2667","http://sexymp.co.uk/mp/497.jpg"
"Theresa Villiers","21","Chipping Barnet","Conservative","1549","39433","27428","http://sexymp.co.uk/mp/603.jpg"
"Dan Byles","22","North Warwickshire","Conservative","1442","3629","2188","http://sexymp.co.uk/mp/93.jpg"
"Amber Rudd","23","Hastings and Rye","Conservative","1514","37460","26154","http://sexymp.co.uk/mp/519.jpg"
"Karen Bradley","24","Staffordshire Moorlands","Conservative","1636","32561","27232","http://sexymp.co.uk/mp/63.jpg"
"Damian Collins","25","Folkestone and Hythe","Conservative","1505","3314","2309","http://sexymp.co.uk/mp/121.jpg"
"Dominic Raab","26","Esher and Walton","Conservative","1437","3666","2294","http://sexymp.co.uk/mp/492.jpg"
"Nigel Evans","27","Ribble Valley","Conservative","1574","3073","2411","http://sexymp.co.uk/mp/193.jpg"
"Daniel Kawczynski","28","Shrewsbury and Atcham","Conservative","1444","3743","2393","http://sexymp.co.uk/mp/334.jpg"
"Aiden Burley","29","Cannock Chase","Conservative","1432","3482","2192","http://sexymp.co.uk/mp/85.jpg"
"Rehman Chishti","30","Gillingham and Rainham","Conservative","1464","3307","2208","http://sexymp.co.uk/mp/108.jpg"
"David Davies","31","Monmouth","Conservative","1550","3114","2382","http://sexymp.co.uk/mp/146.jpg"
"Duncan Hames","32","Chippenham","Liberal Democrat","1506","3577","2578","http://sexymp.co.uk/mp/254.jpg"
"Harriet Baldwin","33","West Worcestershire","Conservative","1526","35055","26179","http://sexymp.co.uk/mp/26.jpg"
"Mark Field","34","Cities of London and Westminster","Conservative","1460","3497","2351","http://sexymp.co.uk/mp/201.jpg"
"Helen Grant","35","Maidstone and The Weald","Conservative","1601","32374","27011","http://sexymp.co.uk/mp/237.jpg"
"Chris Skidmore","36","Kingswood","Conservative","1406","3609","2207","http://sexymp.co.uk/mp/543.jpg"
"Chris Leslie","37","Nottingham East","Labour Co-operative","1591","3286","2719","http://sexymp.co.uk/mp/360.jpg"
"Margot James","38","Stourbridge","Conservative","1646","30296","27025","http://sexymp.co.uk/mp/314.jpg"
"Nick Boles","39","Grantham and Stamford","Conservative","1494","3292","2364","http://sexymp.co.uk/mp/60.jpg"
"James Wharton","40","Stockton South","Conservative","1436","3403","2216","http://sexymp.co.uk/mp/616.jpg"
"Julian Sturdy","41","York Outer","Conservative","1487","3221","2293","http://sexymp.co.uk/mp/572.jpg"
"Charlie Elphicke","42","Dover","Conservative","1442","3366","2227","http://sexymp.co.uk/mp/186.jpg"
"Andrew Stephenson","43","Pendle","Conservative","1529","3020","2301","http://sexymp.co.uk/mp/560.jpg"
"Simon Hart","44","Carmarthen West and South Pembrokeshire","Conservative","1466","3163","2184","http://sexymp.co.uk/mp/268.jpg"
"Anne Maine","45","St Albans","Conservative","1532","34704","26611","http://sexymp.co.uk/mp/386.jpg"
"William Hague","46","Richmond (Yorks)","Conservative","1559","3497","2795","http://sexymp.co.uk/mp/251.jpg"
"Brandon Lewis","47","Great Yarmouth","Conservative","1532","3077","2368","http://sexymp.co.uk/mp/362.jpg"
"David Morris","48","Morecambe and Lunesdale","Conservative","1435","3397","2229","http://sexymp.co.uk/mp/435.jpg"
"James Duddridge","49","Rochford and Southend East","Conservative","1546","3200","2518","http://sexymp.co.uk/mp/171.jpg"
"Alan Duncan","50","Rutland and Melton","Conservative","1553","3020","2401","http://sexymp.co.uk/mp/173.jpg"
