sep=,
"name","ranking","constituency","party","score","won","lost","image","gender","area_gss_code","area_id","area_mapit_name","country"
"Owen Patterson","1","North Shropshire","Conservative","1903","4975","2130","http://sexymp.co.uk/mp/473.jpg","M","E14000849","66017","North Shropshire","England"
"Charlotte Leslie","2","Bristol North West","Conservative","1965","50809","30261","http://sexymp.co.uk/mp/359.jpg","F","E14000600","66009","Bristol North West","England"
"Eilidh Whiteford","3","Banff and Buchan","Scottish National Party","1937","46902","28774","http://sexymp.co.uk/mp/619.jpg","F","S14000007","14404","Banff and Buchan","Scotland"
"Penny Mordaunt","4","Portsmouth North","Conservative","1901","47575","28419","http://sexymp.co.uk/mp/430.jpg","F","E14000883","65566","Portsmouth North","England"
"Esther Mcvey","5","Wirral West","Conservative","1888","44381","28114","http://sexymp.co.uk/mp/412.jpg","F","E14001044","65897","Wirral West","England"
"Sarah Wollaston","6","Totnes","Conservative","1887","39947","26187","http://sexymp.co.uk/mp/639.jpg","F","E14001001","65810","Totnes","England"
"Nicola Blackwood","7","Oxford West and Abingdon","Conservative","1846","44036","27996","http://sexymp.co.uk/mp/54.jpg","F","E14000874","65564","Oxford West and Abingdon","England"
"Rebecca Harris","8","Castle Point","Conservative","1853","44118","28426","http://sexymp.co.uk/mp/266.jpg","F","E14000622","65914","Castle Point","England"
"Claire Perry","9","Devizes","Conservative","1839","44013","28114","http://sexymp.co.uk/mp/480.jpg","F","E14000665","65723","Devizes","England"
"Mary Macleod","10","Brentford and Isleworth","Conservative","1842","43751","28685","http://sexymp.co.uk/mp/380.jpg","F","E14000593","65958","Brentford and Isleworth","England"
"Caroline Nokes","11","Romsey and Southampton North","Conservative","1801","42517","26805","http://sexymp.co.uk/mp/456.jpg","F","E14000901","65884","Romsey and Southampton North","England"
"Anna Soubry","12","Broxtowe","Conservative","1842","39438","26675","http://sexymp.co.uk/mp/555.jpg","F","E14000607","65849","Broxtowe","England"
"Amber Rudd","13","Hastings and Rye","Conservative","1821","38680","26635","http://sexymp.co.uk/mp/519.jpg","F","E14000735","65640","Hastings and Rye","England"
"Sarah Teather","14","Brent Central","Liberal Democrat","1783","49765","34279","http://sexymp.co.uk/mp/581.jpg","F","E14000591","66065","Brent Central","England"
"Theresa Villiers","15","Chipping Barnet","Conservative","1701","40574","27999","http://sexymp.co.uk/mp/603.jpg","F","E14000636","65886","Chipping Barnet","England"
"Priti Patel","16","Witham","Conservative","1687","40786","28063","http://sexymp.co.uk/mp/472.jpg","F","E14001045","65831","Witham","England"
"Nicky Morgan","17","Loughborough","Conservative","1759","35716","27450","http://sexymp.co.uk/mp/432.jpg","F","E14000797","65785","Loughborough","England"
